run,contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
0,normal,0,8,reverse-churn,16,bulk-c,1,2048,1,95000,18009472699233218830,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,1,2048,1,112000,18009472699233218830,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,2,2048,1,93000,15330234649174249455,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,2,2048,1,112000,15330234649174249455,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,2,2048,1,95000,15330234649174249455,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,3,2048,1,113000,12650996599115280080,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,3,2048,1,95000,12650996599115280080,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,3,2048,1,95000,12650996599115280080,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,4,2048,1,98000,9971758549056310705,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,4,2048,1,97000,9971758549056310705,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,4,2048,1,117000,9971758549056310705,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,5,2048,1,98000,7292520498997341330,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,5,2048,1,116000,7292520498997341330,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,5,2048,1,98000,7292520498997341330,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,6,2048,1,118000,4613282448938371955,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,6,2048,1,98000,4613282448938371955,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,6,2048,1,99000,4613282448938371955,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,7,2048,1,97000,1934044398879402580,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,7,2048,1,98000,1934044398879402580,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,7,2048,1,113000,1934044398879402580,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,8,2048,1,96000,17701550422529984821,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,8,2048,1,113000,17701550422529984821,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,8,2048,1,94000,17701550422529984821,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,9,2048,1,115000,15022312372471015446,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,9,2048,1,101000,15022312372471015446,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,9,2048,1,95000,15022312372471015446,1,152,152
0,normal,0,8,reverse-churn,16,loop-c,10,2048,1,94000,12343074322412046071,1,152,152
0,normal,0,8,reverse-churn,16,bulk-c,10,2048,1,94000,12343074322412046071,1,152,152
0,normal,0,8,reverse-churn,16,whitefoot,10,2048,1,114000,12343074322412046071,1,152,152
0,normal,0,8,reverse-churn,256,whitefoot,0,128,1,115000,2341213601639644389,1,2072,2072
0,normal,0,8,reverse-churn,256,loop-c,0,128,1,96000,2341213601639644389,1,2072,2072
0,normal,0,8,reverse-churn,256,bulk-c,0,128,1,96000,2341213601639644389,1,2072,2072
0,normal,0,8,reverse-churn,256,loop-c,1,128,1,97000,7396837877751835366,1,2072,2072
0,normal,0,8,reverse-churn,256,bulk-c,1,128,1,95000,7396837877751835366,1,2072,2072
