comparison,workload,revision,round,warmup,wall_ms,peak_rss_bytes,source_bytes
unseeded-union,copies-8,1b916975,5,false,21.527,10731520,901
unseeded-union,copies-16,1b916975,0,true,21.937,11632640,1131
unseeded-union,copies-16,16fed4e5,0,true,21.882,11452416,1131
unseeded-union,copies-16,16fed4e5,1,false,21.174,11468800,1131
unseeded-union,copies-16,1b916975,1,false,22.621,11550720,1131
unseeded-union,copies-16,1b916975,2,false,23.262,11649024,1131
unseeded-union,copies-16,16fed4e5,2,false,22.812,11632640,1131
unseeded-union,copies-16,16fed4e5,3,false,21.836,11501568,1131
unseeded-union,copies-16,1b916975,3,false,21.777,11747328,1131
unseeded-union,copies-16,1b916975,4,false,21.559,11698176,1131
unseeded-union,copies-16,16fed4e5,4,false,21.575,11567104,1131
unseeded-union,copies-16,16fed4e5,5,false,21.232,11501568,1131
unseeded-union,copies-16,1b916975,5,false,21.802,11730944,1131
unseeded-union,copies-32,1b916975,0,true,24.119,13320192,1595
unseeded-union,copies-32,16fed4e5,0,true,23.879,13074432,1595
unseeded-union,copies-32,16fed4e5,1,false,23.998,13041664,1595
unseeded-union,copies-32,1b916975,1,false,23.988,13205504,1595
unseeded-union,copies-32,1b916975,2,false,23.888,13205504,1595
unseeded-union,copies-32,16fed4e5,2,false,24.024,13123584,1595
unseeded-union,copies-32,16fed4e5,3,false,23.763,13271040,1595
unseeded-union,copies-32,1b916975,3,false,24.212,13221888,1595
unseeded-union,copies-32,1b916975,4,false,24.661,13385728,1595
unseeded-union,copies-32,16fed4e5,4,false,23.843,13189120,1595
unseeded-union,copies-32,16fed4e5,5,false,23.566,13271040,1595
unseeded-union,copies-32,1b916975,5,false,24.452,13238272,1595
unseeded-union,outcomes-4,1b916975,0,true,21.683,11091968,849
unseeded-union,outcomes-4,16fed4e5,0,true,21.160,10911744,849
unseeded-union,outcomes-4,16fed4e5,1,false,21.107,10878976,849
unseeded-union,outcomes-4,1b916975,1,false,21.262,10977280,849
unseeded-union,outcomes-4,1b916975,2,false,20.952,11026432,849
unseeded-union,outcomes-4,16fed4e5,2,false,21.366,10960896,849
unseeded-union,outcomes-4,16fed4e5,3,false,20.547,10960896,849
unseeded-union,outcomes-4,1b916975,3,false,21.252,10911744,849
unseeded-union,outcomes-4,1b916975,4,false,20.822,10862592,849
unseeded-union,outcomes-4,16fed4e5,4,false,20.774,10862592,849
unseeded-union,outcomes-4,16fed4e5,5,false,20.648,10960896,849
unseeded-union,outcomes-4,1b916975,5,false,21.048,10862592,849
unseeded-union,outcomes-8,1b916975,0,true,25.338,12713984,1013
unseeded-union,outcomes-8,16fed4e5,0,true,23.741,11763712,1013
unseeded-union,outcomes-8,16fed4e5,1,false,23.247,11747328,1013
unseeded-union,outcomes-8,1b916975,1,false,25.494,12812288,1013
unseeded-union,outcomes-8,1b916975,2,false,25.451,12877824,1013
unseeded-union,outcomes-8,16fed4e5,2,false,23.526,11878400,1013
unseeded-union,outcomes-8,16fed4e5,3,false,23.417,11796480,1013
unseeded-union,outcomes-8,1b916975,3,false,25.340,12910592,1013
unseeded-union,outcomes-8,1b916975,4,false,26.487,12861440,1013
unseeded-union,outcomes-8,16fed4e5,4,false,24.610,11911168,1013
unseeded-union,outcomes-8,16fed4e5,5,false,24.782,11747328,1013
unseeded-union,outcomes-8,1b916975,5,false,26.735,12976128,1013
unseeded-union,outcomes-16,1b916975,0,true,62.434,20168704,1349
unseeded-union,outcomes-16,16fed4e5,0,true,46.456,16187392,1349
unseeded-union,outcomes-16,16fed4e5,1,false,46.560,16121856,1349
unseeded-union,outcomes-16,1b916975,1,false,61.798,20316160,1349
unseeded-union,outcomes-16,1b916975,2,false,62.202,20283392,1349
unseeded-union,outcomes-16,16fed4e5,2,false,46.353,16154624,1349
unseeded-union,outcomes-16,16fed4e5,3,false,45.892,15974400,1349
unseeded-union,outcomes-16,1b916975,3,false,62.376,20529152,1349
unseeded-union,outcomes-16,1b916975,4,false,61.676,20430848,1349
unseeded-union,outcomes-16,16fed4e5,4,false,46.271,16203776,1349
unseeded-union,outcomes-16,16fed4e5,5,false,46.071,16072704,1349
unseeded-union,outcomes-16,1b916975,5,false,62.946,20529152,1349
unseeded-union,outcomes-32,1b916975,0,true,587.169,58818560,2021
unseeded-union,outcomes-32,16fed4e5,0,true,371.933,37978112,2021
unseeded-union,outcomes-32,16fed4e5,1,false,377.109,37928960,2021
unseeded-union,outcomes-32,1b916975,1,false,583.980,58589184,2021
unseeded-union,outcomes-32,1b916975,2,false,585.484,58785792,2021
unseeded-union,outcomes-32,16fed4e5,2,false,374.820,37978112,2021
unseeded-union,outcomes-32,16fed4e5,3,false,372.433,37945344,2021
unseeded-union,outcomes-32,1b916975,3,false,586.967,58343424,2021
unseeded-union,outcomes-32,1b916975,4,false,583.778,58703872,2021
unseeded-union,outcomes-32,16fed4e5,4,false,373.694,38010880,2021
unseeded-union,outcomes-32,16fed4e5,5,false,373.110,38010880,2021
unseeded-union,outcomes-32,1b916975,5,false,588.250,59015168,2021
unseeded-union,joins-4,1b916975,0,true,22.532,11190272,1069
unseeded-union,joins-4,16fed4e5,0,true,22.213,11288576,1069
unseeded-union,joins-4,16fed4e5,1,false,21.319,11304960,1069
unseeded-union,joins-4,1b916975,1,false,22.103,11091968,1069
unseeded-union,joins-4,1b916975,2,false,21.775,11173888,1069
unseeded-union,joins-4,16fed4e5,2,false,21.454,11304960,1069
unseeded-union,joins-4,16fed4e5,3,false,21.320,11255808,1069
unseeded-union,joins-4,1b916975,3,false,22.605,11190272,1069
unseeded-union,joins-4,1b916975,4,false,21.898,11239424,1069
unseeded-union,joins-4,16fed4e5,4,false,21.732,11304960,1069
unseeded-union,joins-4,16fed4e5,5,false,21.453,11304960,1069
unseeded-union,joins-4,1b916975,5,false,21.750,11239424,1069
unseeded-union,joins-8,1b916975,0,true,29.252,13844480,1453
unseeded-union,joins-8,16fed4e5,0,true,25.845,13402112,1453
unseeded-union,joins-8,16fed4e5,1,false,25.385,13271040,1453
unseeded-union,joins-8,1b916975,1,false,28.416,13664256,1453
unseeded-union,joins-8,1b916975,2,false,28.096,13647872,1453
unseeded-union,joins-8,16fed4e5,2,false,25.729,13369344,1453
unseeded-union,joins-8,16fed4e5,3,false,25.429,13385728,1453
