cohort,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,normal,split,insert,4096,1,4,8192,24918,0,17130842932224972264,8196,151552
0,normal,whitefoot,insert,4096,2,4,8192,26708,0,7748136960903208664,8196,212992
0,normal,interleaved,insert,4096,2,4,8192,23251,0,7748136960903208664,8196,180224
0,normal,split,insert,4096,2,4,8192,24791,0,7748136960903208664,8196,151552
0,normal,whitefoot,insert,4096,3,4,8192,26792,0,9072104606401219352,8196,212992
0,normal,interleaved,insert,4096,3,4,8192,23291,0,9072104606401219352,8196,180224
0,normal,split,insert,4096,3,4,8192,24918,0,9072104606401219352,8196,151552
0,normal,whitefoot,insert,4096,4,4,8192,26792,0,13239724372104250040,8196,212992
0,normal,interleaved,insert,4096,4,4,8192,23209,0,13239724372104250040,8196,180224
0,normal,split,insert,4096,4,4,8192,24875,0,13239724372104250040,8196,151552
0,normal,whitefoot,insert,4096,5,4,8192,26792,0,3801496594800721496,8196,212992
0,normal,interleaved,insert,4096,5,4,8192,23168,0,3801496594800721496,8196,180224
0,normal,split,insert,4096,5,4,8192,24959,0,3801496594800721496,8196,151552
0,normal,whitefoot,insert,4096,6,4,8192,26792,0,7352625120983369704,8196,212992
0,normal,interleaved,insert,4096,6,4,8192,23251,0,7352625120983369704,8196,180224
0,normal,split,insert,4096,6,4,8192,24917,0,7352625120983369704,8196,151552
0,normal,whitefoot,insert,4096,7,4,8192,26832,0,17960812127515588248,8196,212992
0,normal,interleaved,insert,4096,7,4,8192,23583,0,17960812127515588248,8196,180224
0,normal,split,insert,4096,7,4,8192,24959,0,17960812127515588248,8196,151552
0,normal,whitefoot,insert,4096,8,4,8192,26833,0,2615156060198523864,8196,212992
0,normal,interleaved,insert,4096,8,4,8192,23375,0,2615156060198523864,8196,180224
0,normal,split,insert,4096,8,4,8192,24875,0,2615156060198523864,8196,151552
0,normal,whitefoot,insert,4096,9,4,8192,26874,0,1726498032405399000,8196,212992
0,normal,interleaved,insert,4096,9,4,8192,23250,0,1726498032405399000,8196,180224
0,normal,split,insert,4096,9,4,8192,24834,0,1726498032405399000,8196,151552
0,normal,whitefoot,insert,4096,10,4,8192,26706,0,4534567279263349320,8196,212992
0,normal,interleaved,insert,4096,10,4,8192,23333,0,4534567279263349320,8196,180224
0,normal,split,insert,4096,10,4,8192,24790,0,4534567279263349320,8196,151552
0,normal,whitefoot,insert,4096,11,4,8192,26834,0,6412549644183669048,8196,212992
0,normal,interleaved,insert,4096,11,4,8192,23249,0,6412549644183669048,8196,180224
0,normal,split,insert,4096,11,4,8192,24250,0,6412549644183669048,8196,151552
0,normal,whitefoot,insert,4096,12,4,8192,26834,0,8054235486273026056,8196,212992
0,normal,interleaved,insert,4096,12,4,8192,23249,0,8054235486273026056,8196,180224
0,normal,split,insert,4096,12,4,8192,24501,0,8054235486273026056,8196,151552
0,normal,whitefoot,insert,4096,13,4,8192,26751,0,12270942348091423640,8196,212992
0,normal,interleaved,insert,4096,13,4,8192,23374,0,12270942348091423640,8196,180224
0,normal,split,insert,4096,13,4,8192,24541,0,12270942348091423640,8196,151552
0,normal,whitefoot,rehash,4096,0,4,4,62292,1827965534208,16755485260950900696,8200,475136
0,normal,interleaved,rehash,4096,0,4,4,53709,1827965534208,16755485260950900696,8200,376832
0,normal,split,rehash,4096,0,4,4,39875,1827965534208,16755485260950900696,8200,290816
0,normal,whitefoot,rehash,4096,1,4,4,62250,1827965534208,11397508409219617008,8200,475136
0,normal,interleaved,rehash,4096,1,4,4,53958,1827965534208,11397508409219617008,8200,376832
