cohort,implementation,contract,variant,operation,capacity,sample,repetitions,operations,elapsed_ns,checksum,digest,requests,peak_bytes
0,owning-growth,retained,interleaved,insert,4096,13,4,8192,23333,0,12270942348091423640,8196,180224
0,owning-growth,retained,split,insert,4096,13,4,8192,24834,0,12270942348091423640,8196,151552
0,owning-growth,retained,whitefoot,rehash,4096,0,4,4,62709,1827965534208,16755485260950900696,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,0,4,4,53751,1827965534208,16755485260950900696,8200,376832
0,owning-growth,retained,split,rehash,4096,0,4,4,39708,1827965534208,16755485260950900696,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,1,4,4,62626,1827965534208,11397508409219617008,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,1,4,4,54167,1827965534208,11397508409219617008,8200,376832
0,owning-growth,retained,split,rehash,4096,1,4,4,39749,1827965534208,11397508409219617008,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,2,4,4,62668,1827965534208,2291712753279154904,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,2,4,4,53832,1827965534208,2291712753279154904,8200,376832
0,owning-growth,retained,split,rehash,4096,2,4,4,39750,1827965534208,2291712753279154904,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,3,4,4,62874,1827965534208,13715796755296672336,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,3,4,4,53667,1827965534208,13715796755296672336,8200,376832
0,owning-growth,retained,split,rehash,4096,3,4,4,39667,1827965534208,13715796755296672336,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,4,4,4,62208,1827965534208,11472147109226316488,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,4,4,4,53750,1827965534208,11472147109226316488,8200,376832
0,owning-growth,retained,split,rehash,4096,4,4,4,39834,1827965534208,11472147109226316488,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,5,4,4,62459,1827965534208,17478255965976599768,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,5,4,4,53624,1827965534208,17478255965976599768,8200,376832
0,owning-growth,retained,split,rehash,4096,5,4,4,39875,1827965534208,17478255965976599768,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,6,4,4,62332,1827965534208,9565289437605259256,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,6,4,4,53875,1827965534208,9565289437605259256,8200,376832
0,owning-growth,retained,split,rehash,4096,6,4,4,39667,1827965534208,9565289437605259256,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,7,4,4,62708,1827965534208,5938984280190480528,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,7,4,4,53666,1827965534208,5938984280190480528,8200,376832
0,owning-growth,retained,split,rehash,4096,7,4,4,39626,1827965534208,5938984280190480528,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,8,4,4,62832,1827965534208,7753566762732457912,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,8,4,4,53791,1827965534208,7753566762732457912,8200,376832
0,owning-growth,retained,split,rehash,4096,8,4,4,39751,1827965534208,7753566762732457912,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,9,4,4,62584,1827965534208,13780301973079490048,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,9,4,4,53624,1827965534208,13780301973079490048,8200,376832
0,owning-growth,retained,split,rehash,4096,9,4,4,39584,1827965534208,13780301973079490048,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,10,4,4,62459,1827965534208,15143009266973162248,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,10,4,4,53667,1827965534208,15143009266973162248,8200,376832
0,owning-growth,retained,split,rehash,4096,10,4,4,39873,1827965534208,15143009266973162248,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,11,4,4,62459,1827965534208,16669691421769542776,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,11,4,4,53750,1827965534208,16669691421769542776,8200,376832
0,owning-growth,retained,split,rehash,4096,11,4,4,39750,1827965534208,16669691421769542776,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,12,4,4,62250,1827965534208,12295864366953237120,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,12,4,4,53874,1827965534208,12295864366953237120,8200,376832
0,owning-growth,retained,split,rehash,4096,12,4,4,39708,1827965534208,12295864366953237120,8200,290816
0,owning-growth,retained,whitefoot,rehash,4096,13,4,4,63417,1827965534208,9430538475723708128,8200,475136
0,owning-growth,retained,interleaved,rehash,4096,13,4,4,53999,1827965534208,9430538475723708128,8200,376832
0,owning-growth,retained,split,rehash,4096,13,4,4,40250,1827965534208,9430538475723708128,8200,290816
0,owning-growth,retained,whitefoot,lookup,16384,0,4,1048576,3270250,159344702076223488,10909911768892883176,32772,851968
0,owning-growth,retained,interleaved,lookup,16384,0,4,1048576,2951792,159344702076223488,10909911768892883176,32772,720896
0,owning-growth,retained,split,lookup,16384,0,4,1048576,3362542,159344702076223488,10909911768892883176,32772,606208
0,owning-growth,retained,whitefoot,lookup,16384,1,4,1048576,3402250,159344702076223488,13502755409350941448,32772,851968
0,owning-growth,retained,interleaved,lookup,16384,1,4,1048576,3023626,159344702076223488,13502755409350941448,32772,720896
0,owning-growth,retained,split,lookup,16384,1,4,1048576,3163292,159344702076223488,13502755409350941448,32772,606208
0,owning-growth,retained,whitefoot,lookup,16384,2,4,1048576,3172041,159344702076223488,14940797459546303912,32772,851968
0,owning-growth,retained,interleaved,lookup,16384,2,4,1048576,2921875,159344702076223488,14940797459546303912,32772,720896
0,owning-growth,retained,split,lookup,16384,2,4,1048576,3096791,159344702076223488,14940797459546303912,32772,606208
0,owning-growth,retained,whitefoot,lookup,16384,3,4,1048576,3163375,159344702076223488,7567640889831038072,32772,851968
0,owning-growth,retained,interleaved,lookup,16384,3,4,1048576,2912000,159344702076223488,7567640889831038072,32772,720896
0,owning-growth,retained,split,lookup,16384,3,4,1048576,3094750,159344702076223488,7567640889831038072,32772,606208
0,owning-growth,retained,whitefoot,lookup,16384,4,4,1048576,3159585,159344702076223488,11576670716104284088,32772,851968
0,owning-growth,retained,interleaved,lookup,16384,4,4,1048576,2916875,159344702076223488,11576670716104284088,32772,720896
0,owning-growth,retained,split,lookup,16384,4,4,1048576,3089376,159344702076223488,11576670716104284088,32772,606208
0,owning-growth,retained,whitefoot,lookup,16384,5,4,1048576,3174042,159344702076223488,18226598782554959048,32772,851968
0,owning-growth,retained,interleaved,lookup,16384,5,4,1048576,2914041,159344702076223488,18226598782554959048,32772,720896
0,owning-growth,retained,split,lookup,16384,5,4,1048576,3092834,159344702076223488,18226598782554959048,32772,606208
