round	shape	depth	words	reps	impl	threads	seconds	exit	output
16	skew	16	16	14000	rs_rayon	2	0.434879	0	41b6e2d19d086103
16	skew	16	16	14000	rs_rayon	4	0.361173	0	41b6e2d19d086103
16	skew	16	16	14000	rs_rayon	8	0.528325	0	41b6e2d19d086103
16	skew	16	16	14000	rs_rayon	default	0.744361	0	41b6e2d19d086103
16	skew	16	16	14000	rs_cut	2	0.393312	0	41b6e2d19d086103
16	skew	16	16	14000	rs_cut	4	0.258925	0	41b6e2d19d086103
16	skew	16	16	14000	rs_cut	8	0.389453	0	41b6e2d19d086103
16	skew	16	64	4500	wf_seq	0	0.725520	0	41e556a6323abc33
16	skew	16	64	4500	wf_par	1	0.540124	0	41e556a6323abc33
16	skew	16	64	4500	wf_par	2	0.284147	0	41e556a6323abc33
16	skew	16	64	4500	wf_par	4	0.158558	0	41e556a6323abc33
16	skew	16	64	4500	wf_par	8	0.155534	0	41e556a6323abc33
16	skew	16	64	4500	wf_par	default	0.168144	0	41e556a6323abc33
16	skew	16	64	4500	rs_seq	0	0.576310	0	41e556a6323abc33
16	skew	16	64	4500	rs_rayon	2	0.308957	0	41e556a6323abc33
16	skew	16	64	4500	rs_rayon	4	0.201970	0	41e556a6323abc33
16	skew	16	64	4500	rs_rayon	8	0.254725	0	41e556a6323abc33
16	skew	16	64	4500	rs_rayon	default	0.339673	0	41e556a6323abc33
16	skew	16	64	4500	rs_cut	2	0.357628	0	41e556a6323abc33
16	skew	16	64	4500	rs_cut	4	0.232087	0	41e556a6323abc33
16	skew	16	64	4500	rs_cut	8	0.303332	0	41e556a6323abc33
16	skew	16	192	1600	wf_seq	0	0.847849	0	420229e929506cdd
16	skew	16	192	1600	wf_par	1	0.636268	0	420229e929506cdd
16	skew	16	192	1600	wf_par	2	0.327605	0	420229e929506cdd
16	skew	16	192	1600	wf_par	4	0.174801	0	420229e929506cdd
16	skew	16	192	1600	wf_par	8	0.141489	0	420229e929506cdd
16	skew	16	192	1600	wf_par	default	0.165577	0	420229e929506cdd
16	skew	16	192	1600	rs_seq	0	0.646803	0	420229e929506cdd
16	skew	16	192	1600	rs_rayon	2	0.336901	0	420229e929506cdd
16	skew	16	192	1600	rs_rayon	4	0.214316	0	420229e929506cdd
16	skew	16	192	1600	rs_rayon	8	0.188883	0	420229e929506cdd
16	skew	16	192	1600	rs_rayon	default	0.229386	0	420229e929506cdd
16	skew	16	192	1600	rs_cut	2	0.403873	0	420229e929506cdd
16	skew	16	192	1600	rs_cut	4	0.263744	0	420229e929506cdd
16	skew	16	192	1600	rs_cut	8	0.298455	0	420229e929506cdd
16	grid	21	256	2	wf_seq	0	0.600887	0	000000000033517d
16	grid	21	256	2	wf_par	1	0.530993	0	000000000033517d
16	grid	21	256	2	wf_par	2	0.273452	0	000000000033517d
16	grid	21	256	2	wf_par	4	0.140044	0	000000000033517d
16	grid	21	256	2	wf_par	8	0.096254	0	000000000033517d
16	grid	21	256	2	wf_par	default	0.081438	0	000000000033517d
16	grid	21	256	2	rs_seq	0	0.504561	0	000000000033517d
16	grid	21	256	2	rs_rayon	2	0.263166	0	000000000033517d
16	grid	21	256	2	rs_rayon	4	0.135462	0	000000000033517d
16	grid	21	256	2	rs_rayon	8	0.094831	0	000000000033517d
16	grid	21	256	2	rs_rayon	default	0.083227	0	000000000033517d
16	grid	21	256	2	rs_cut	2	0.268049	0	000000000033517d
16	grid	21	256	2	rs_cut	4	0.146470	0	000000000033517d
16	grid	21	256	2	rs_cut	8	0.096810	0	000000000033517d
17	bal	8	16	100000	wf_seq	0	0.578924	0	418978c4dfc3adcb
17	bal	8	16	100000	wf_par	1	0.609853	0	418978c4dfc3adcb
17	bal	8	16	100000	wf_par	2	0.355322	0	418978c4dfc3adcb
17	bal	8	16	100000	wf_par	4	0.247145	0	418978c4dfc3adcb
17	bal	8	16	100000	wf_par	8	0.541496	0	418978c4dfc3adcb
17	bal	8	16	100000	wf_par	default	0.582766	0	418978c4dfc3adcb
17	bal	8	16	100000	rs_seq	0	0.685870	0	418978c4dfc3adcb
17	bal	8	16	100000	rs_rayon	2	0.487975	0	418978c4dfc3adcb
17	bal	8	16	100000	rs_rayon	4	0.594967	0	418978c4dfc3adcb
17	bal	8	16	100000	rs_rayon	8	1.204104	0	418978c4dfc3adcb
17	bal	8	16	100000	rs_rayon	default	2.816850	0	418978c4dfc3adcb
17	bal	8	16	100000	rs_cut	2	0.378118	0	418978c4dfc3adcb
17	bal	8	16	100000	rs_cut	4	0.304066	0	418978c4dfc3adcb
17	bal	8	16	100000	rs_cut	8	0.786262	0	418978c4dfc3adcb
17	bal	8	64	32000	wf_seq	0	0.519988	0	41b7bde1c5b8515c
17	bal	8	64	32000	wf_par	1	0.603432	0	41b7bde1c5b8515c
17	bal	8	64	32000	wf_par	2	0.320716	0	41b7bde1c5b8515c
17	bal	8	64	32000	wf_par	4	0.180704	0	41b7bde1c5b8515c
17	bal	8	64	32000	wf_par	8	0.234696	0	41b7bde1c5b8515c
17	bal	8	64	32000	wf_par	default	0.256359	0	41b7bde1c5b8515c
17	bal	8	64	32000	rs_seq	0	0.525125	0	41b7bde1c5b8515c
17	bal	8	64	32000	rs_rayon	2	0.291123	0	41b7bde1c5b8515c
17	bal	8	64	32000	rs_rayon	4	0.238097	0	41b7bde1c5b8515c
17	bal	8	64	32000	rs_rayon	8	0.433371	0	41b7bde1c5b8515c
17	bal	8	64	32000	rs_rayon	default	0.819246	0	41b7bde1c5b8515c
17	bal	8	64	32000	rs_cut	2	0.314859	0	41b7bde1c5b8515c
17	bal	8	64	32000	rs_cut	4	0.208656	0	41b7bde1c5b8515c
17	bal	8	64	32000	rs_cut	8	0.356101	0	41b7bde1c5b8515c
17	bal	8	192	11500	wf_seq	0	0.641132	0	41d434bad9dda9b2
17	bal	8	192	11500	wf_par	1	0.775510	0	41d434bad9dda9b2
17	bal	8	192	11500	wf_par	2	0.404790	0	41d434bad9dda9b2
17	bal	8	192	11500	wf_par	4	0.210240	0	41d434bad9dda9b2
17	bal	8	192	11500	wf_par	8	0.182488	0	41d434bad9dda9b2
17	bal	8	192	11500	wf_par	default	0.172215	0	41d434bad9dda9b2
17	bal	8	192	11500	rs_seq	0	0.602979	0	41d434bad9dda9b2
17	bal	8	192	11500	rs_rayon	2	0.328520	0	41d434bad9dda9b2
17	bal	8	192	11500	rs_rayon	4	0.240990	0	41d434bad9dda9b2
17	bal	8	192	11500	rs_rayon	8	0.241813	0	41d434bad9dda9b2
17	bal	8	192	11500	rs_rayon	default	0.415019	0	41d434bad9dda9b2
