comparison	fixture	source_bytes	pair	compiler	elapsed_us	verdict
c2-c3	real-prefix	2909	0	baseline	160241	accept
c2-c3	real-prefix	2909	0	candidate	132480	accept
c2-c3	real-prefix	2909	1	candidate	131327	accept
c2-c3	real-prefix	2909	1	baseline	157072	accept
c2-c3	real-prefix	2909	2	baseline	158618	accept
c2-c3	real-prefix	2909	2	candidate	136015	accept
c2-c3	real-prefix	2909	3	candidate	132263	accept
c2-c3	real-prefix	2909	3	baseline	158640	accept
c2-c3	real-prefix	2909	4	baseline	159137	accept
c2-c3	real-prefix	2909	4	candidate	132436	accept
c2-c3	real-histogram	3676	0	baseline	161926	accept
c2-c3	real-histogram	3676	0	candidate	136844	accept
c2-c3	real-histogram	3676	1	candidate	138688	accept
c2-c3	real-histogram	3676	1	baseline	162873	accept
c2-c3	real-histogram	3676	2	baseline	163852	accept
c2-c3	real-histogram	3676	2	candidate	135242	accept
c2-c3	real-histogram	3676	3	candidate	134683	accept
c2-c3	real-histogram	3676	3	baseline	160792	accept
c2-c3	real-histogram	3676	4	baseline	165405	accept
c2-c3	real-histogram	3676	4	candidate	136103	accept
c2-c3	real-radix_scatter	8989	0	baseline	876908	accept
c2-c3	real-radix_scatter	8989	0	candidate	743921	accept
c2-c3	real-radix_scatter	8989	1	candidate	750088	accept
c2-c3	real-radix_scatter	8989	1	baseline	893070	accept
c2-c3	real-radix_scatter	8989	2	baseline	872276	accept
c2-c3	real-radix_scatter	8989	2	candidate	754095	accept
c2-c3	real-radix_scatter	8989	3	candidate	751379	accept
c2-c3	real-radix_scatter	8989	3	baseline	881552	accept
c2-c3	real-radix_scatter	8989	4	baseline	867173	accept
c2-c3	real-radix_scatter	8989	4	candidate	748078	accept
c3-c4	fixed-16	824	0	baseline	20102	accept
c3-c4	fixed-16	824	0	candidate	16816	accept
c3-c4	fixed-16	824	1	candidate	13891	accept
c3-c4	fixed-16	824	1	baseline	12700	accept
c3-c4	fixed-16	824	2	baseline	12979	accept
c3-c4	fixed-16	824	2	candidate	12526	accept
c3-c4	fixed-16	824	3	candidate	12486	accept
c3-c4	fixed-16	824	3	baseline	12595	accept
c3-c4	fixed-16	824	4	baseline	12619	accept
c3-c4	fixed-16	824	4	candidate	12693	accept
c3-c4	growing-16	1452	0	baseline	16350	accept
c3-c4	growing-16	1452	0	candidate	17477	accept
c3-c4	growing-16	1452	1	candidate	16762	accept
c3-c4	growing-16	1452	1	baseline	17240	accept
c3-c4	growing-16	1452	2	baseline	16631	accept
c3-c4	growing-16	1452	2	candidate	17005	accept
c3-c4	growing-16	1452	3	candidate	16832	accept
c3-c4	growing-16	1452	3	baseline	16257	accept
c3-c4	growing-16	1452	4	baseline	16296	accept
c3-c4	growing-16	1452	4	candidate	16210	accept
c3-c4	control-16	1038	0	baseline	14217	accept
c3-c4	control-16	1038	0	candidate	14109	accept
c3-c4	control-16	1038	1	candidate	14378	accept
c3-c4	control-16	1038	1	baseline	14406	accept
c3-c4	control-16	1038	2	baseline	14114	accept
c3-c4	control-16	1038	2	candidate	14167	accept
c3-c4	control-16	1038	3	candidate	14419	accept
c3-c4	control-16	1038	3	baseline	14542	accept
c3-c4	control-16	1038	4	baseline	14276	accept
c3-c4	control-16	1038	4	candidate	14145	accept
c3-c4	fixed-64	2209	0	baseline	15044	accept
c3-c4	fixed-64	2209	0	candidate	15067	accept
c3-c4	fixed-64	2209	1	candidate	15210	accept
c3-c4	fixed-64	2209	1	baseline	15089	accept
c3-c4	fixed-64	2209	2	baseline	15003	accept
c3-c4	fixed-64	2209	2	candidate	15070	accept
c3-c4	fixed-64	2209	3	candidate	15458	accept
c3-c4	fixed-64	2209	3	baseline	15349	accept
c3-c4	fixed-64	2209	4	baseline	15721	accept
c3-c4	fixed-64	2209	4	candidate	16716	accept
c3-c4	growing-64	5532	0	baseline	110908	accept
c3-c4	growing-64	5532	0	candidate	111990	accept
c3-c4	growing-64	5532	1	candidate	113422	accept
c3-c4	growing-64	5532	1	baseline	110862	accept
c3-c4	growing-64	5532	2	baseline	111518	accept
c3-c4	growing-64	5532	2	candidate	114497	accept
c3-c4	growing-64	5532	3	candidate	111569	accept
c3-c4	growing-64	5532	3	baseline	112046	accept
c3-c4	growing-64	5532	4	baseline	113847	accept
c3-c4	growing-64	5532	4	candidate	111355	accept
c3-c4	control-64	3486	0	baseline	36599	accept
c3-c4	control-64	3486	0	candidate	35963	accept
c3-c4	control-64	3486	1	candidate	35788	accept
