fixture	source_bytes	pair	compiler	elapsed_us	verdict	llvm_sha256
fixed-4096	124045	3	baseline	285728	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-4096	124045	4	baseline	286043	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
fixed-4096	124045	4	candidate	292779	accept	8428f7110f6108ae4bc3a3c4caaca188e02146a099c65845394ee39282651d4d
real-prefix	2909	0	baseline	24243	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	0	candidate	24031	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	1	candidate	23579	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	1	baseline	23821	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	2	baseline	24107	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	2	candidate	23721	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	3	candidate	23966	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	3	baseline	24314	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	4	baseline	24065	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-prefix	2909	4	candidate	24042	accept	6908b777120833a2388a75b310632643c1a4e0f24ce6adcaf6942ee0a43b57ad
real-histogram	3676	0	baseline	28945	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	0	candidate	28361	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	1	candidate	29685	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	1	baseline	28313	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	2	baseline	28736	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	2	candidate	28659	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	3	candidate	28113	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	3	baseline	28711	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	4	baseline	28805	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-histogram	3676	4	candidate	29720	accept	1303b6871bb5512afec5c7d1d85b68a497a36f8cac11fc6cb264090eb56a2bce
real-radix_scatter	8989	0	baseline	72313	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	0	candidate	71562	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	1	candidate	71207	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	1	baseline	70622	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	2	baseline	70939	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	2	candidate	71189	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	3	candidate	70847	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	3	baseline	71021	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	4	baseline	70689	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-radix_scatter	8989	4	candidate	70971	accept	e35aa63653a8b65b766cd43556877028ce2b4a12c3616708aecdc67b67f54a67
real-wfgrep	83524	0	baseline	891321	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	0	candidate	944287	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	1	candidate	943300	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	1	baseline	886768	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	2	baseline	885949	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	2	candidate	932882	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	3	candidate	930998	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	3	baseline	882254	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	4	baseline	891077	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-wfgrep	83524	4	candidate	944620	accept	a78e43eb788efd613753875f26731242fb598fa8ec36633d7e3f8b7320e664d7
real-fixed_run_library	13014	0	baseline	1181531	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	0	candidate	1205026	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	1	candidate	1207622	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	1	baseline	1204327	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	2	baseline	1189060	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	2	candidate	1201124	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	3	candidate	1207956	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	3	baseline	1171404	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	4	baseline	1154761	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
real-fixed_run_library	13014	4	candidate	1220590	accept	e6714adc13f02c905f9539388952241afbdd038094d96edca4b6e7dea77de53d
