contract,element_bytes,path,count,run,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_window_c,null_window_normalized,null_tagged_c,null_tagged_normalized,ab_raw,ab_window_c,ab_window_normalized,ab_tagged_c,ab_tagged_normalized,a_wf_window_c,b_wf_window_c,a_wf_tagged_c,b_wf_tagged_c
retained,8,prefilled-lookup,16,0,0,85000,0.0481859410430838,0.0481859410430838,1,1,1,1,1.00424430641822,1.06666666666667,0.957446808510638,1.1047619047619,0.966292134831461,1.11143410852713,1.14893617021277,1.27777777777778,1.17391304347826,1.29545454545455
retained,8,prefilled-lookup,16,0,1,85000,0.0481859410430838,0.0481859410430838,1,1,1.00157764255127,1,1,1.0990099009901,1,1.0990099009901,1,1.10891089108911,1.16091954022989,1.27586206896552,1.17441860465116,1.2906976744186
retained,8,prefilled-lookup,16,1,0,85000,0.0481859410430838,0.0481859410430838,0.980769230769231,0.98876404494382,0.998397435897436,0.988505747126437,0.992173524150268,1.09803921568627,1,1.09803921568627,1,1.09803921568627,1.17045454545455,1.27272727272727,1.18604651162791,1.30232558139535
retained,8,prefilled-lookup,16,1,1,85000,0.0481859410430838,0.0481859410430838,1.03960396039604,1.04545454545455,1.00341005967604,1.04597701149425,0.994712491738268,1.09803921568627,1,1.09803921568627,1,1.0990099009901,1.16091954022989,1.27272727272727,1.17441860465116,1.2906976744186
retained,8,prefilled-lookup,256,0,0,87000,0.0470524607896161,0.0470524607896161,0.989473684210526,0.988636363636364,1.00084694494858,1,1.00071770334928,1.05050505050505,0.946808510638298,1.10898876404494,0.958762886597938,1.10679949032781,1.06593406593407,1.19318181818182,1.06382978723404,1.1685393258427
retained,8,prefilled-lookup,256,0,1,87000,0.0470524607896161,0.0470524607896161,1,1,0.999153771760155,1,0.999408983451537,1.1063829787234,1,1.1063829787234,1,1.10717703349282,1.07954545454545,1.19318181818182,1.0561797752809,1.17977528089888
retained,8,prefilled-lookup,256,1,0,87000,0.0470524607896161,0.0470524607896161,1,1,1.00084694494858,1,1,1.1063829787234,1,1.10416666666667,1,1.10526315789474,1.08045977011494,1.19318181818182,1.06741573033708,1.17977528089888
retained,8,prefilled-lookup,256,1,1,87000,0.0470524607896161,0.0470524607896161,1.04255319148936,1.04545454545455,0.99468085106383,1.04494382022472,0.999002770083103,1.1063829787234,1,1.1063829787234,1,1.1063829787234,1.08045977011494,1.19540229885057,1.0561797752809,1.17977528089888
retained,8,prefilled-lookup,4096,0,0,117000,0.0347800237812126,0.0579710144927537,0.942028985507246,0.967213114754098,0.989526245280721,0.975609756097561,0.992537313432836,1.03846153846154,0.967213114754098,1.08161668839635,0.967479674796748,1.07692307692308,1.0655737704918,1.14406779661017,1.05691056910569,1.13445378151261
retained,8,prefilled-lookup,4096,0,1,117000,0.0347800237812126,0.0579710144927537,0.984375,1,0.984196663740123,1,0.966751918158568,1.04511278195489,1,1.04511278195489,1,1.04833512352309,1.11864406779661,1.15254237288136,1.09016393442623,1.13445378151261
