run,contract,cohort,element_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_bytes
0,normal,0,8,reuse-churn,16,tagged-c,9,2048,1,92000,11719236616379468821,1,400,400
0,normal,0,8,reuse-churn,16,window-c,10,2048,1,91000,15402662398472267319,1,528,528
0,normal,0,8,reuse-churn,16,tagged-c,10,2048,1,92000,15402662398472267319,1,400,400
0,normal,0,8,reuse-churn,16,whitefoot,10,2048,1,127000,15402662398472267319,1,528,528
0,normal,0,8,reuse-churn,256,whitefoot,0,128,1,129000,6523824283193344799,1,8208,8208
0,normal,0,8,reuse-churn,256,window-c,0,128,1,95000,6523824283193344799,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,0,128,1,99000,6523824283193344799,1,6160,6160
0,normal,0,8,reuse-churn,256,window-c,1,128,1,92000,12734328119918341541,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,1,128,1,94000,12734328119918341541,1,6160,6160
0,normal,0,8,reuse-churn,256,whitefoot,1,128,1,123000,12734328119918341541,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,2,128,1,92000,12011717451515955239,1,6160,6160
0,normal,0,8,reuse-churn,256,whitefoot,2,128,1,123000,12011717451515955239,1,8208,8208
0,normal,0,8,reuse-churn,256,window-c,2,128,1,93000,12011717451515955239,1,8208,8208
0,normal,0,8,reuse-churn,256,whitefoot,3,128,1,122000,13641706224786166453,1,8208,8208
0,normal,0,8,reuse-churn,256,window-c,3,128,1,92000,13641706224786166453,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,3,128,1,92000,13641706224786166453,1,6160,6160
0,normal,0,8,reuse-churn,256,window-c,4,128,1,92000,12919095556383780151,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,4,128,1,92000,12919095556383780151,1,6160,6160
0,normal,0,8,reuse-churn,256,whitefoot,4,128,1,122000,12919095556383780151,1,8208,8208
0,normal,0,8,reuse-churn,256,tagged-c,5,128,1,92000,682855319399225277,1,6160,6160
0,normal,0,8,reuse-churn,256,whitefoot,5,128,1,122000,682855319399225277,1,8208,8208
0,normal,0,8,reuse-churn,256,window-c,5,128,1,92000,682855319399225277,1,8208,8208
