runtime	kernel	workers	k	n	tile	seed	pass	calls	core_mean_ns	core_min_ns	core_max_ns	cycle_mean_ns	cycle_min_ns	cycle_max_ns
weak	wf	0	3	4097	4096	108659	2	256	13256.574	8372	25027	32457.500	20080	76694
recovered	wf	0	3	4097	4096	108659	2	256	9856.879	8383	79398	25841.422	22904	94301
recovered	wf	2	3	4097	4096	108659	2	256	8715.484	8472	29224	31910.684	31166	51587
recovered	wf	4	3	4097	4096	108659	2	256	14602.770	9063	584279	41818.527	34000	609687
shared	wf	0	3	4097	4096	108659	2	256	16466.152	14061	48892	35930.090	30676	70214
shared	wf	2	3	4097	4096	108659	2	256	9882.887	8452	35643	28005.152	26128	59689
shared	wf	4	3	4097	4096	108659	2	256	12082.438	8482	39084	32228.305	25839	77625
weak	wf	0	3	4097	65536	108659	2	256	12990.914	8302	32228	28256.391	19198	75342
recovered	wf	0	3	4097	65536	108659	2	256	9241.898	8292	20671	23073.371	20591	154340
recovered	wf	2	3	4097	65536	108659	2	256	9300.246	8292	31777	22670.570	20591	47221
recovered	wf	4	3	4097	65536	108659	2	256	9526.953	8292	34771	22905.629	20591	51257
shared	wf	0	3	4097	65536	108659	2	256	10465.469	8332	97085	19912.965	16344	105227
shared	wf	2	3	4097	65536	108659	2	256	15634.121	8312	45838	30044.586	16354	143243
shared	wf	4	3	4097	65536	108659	2	256	12298.836	8282	70425	23324.160	16305	84425
weak	direct	0	3	4097	65536	108659	2	256	10955.645	7531	30745	12799.262	9184	33009
weak	lanes4	0	3	4097	65536	108659	2	256	3281.703	2183	20390	5110.445	3865	22213
weak	lanes8	0	3	4097	65536	108659	2	256	1400.215	1331	2504	3189.008	3004	21462
weak	lanes16	0	3	4097	65536	108659	2	256	1486.273	1042	23805	3310.277	2714	25768
recovered	wf	0	3	4097	65536	108659	3	256	8474.918	8312	16063	21406.902	20611	44186
weak	wf	0	3	4097	65536	108659	3	256	10372.859	8293	25137	22257.734	17766	48512
shared	wf	4	3	4097	4096	108659	3	256	12351.922	8503	38227	33830.453	26008	81181
shared	wf	2	3	4097	4096	108659	3	256	9884.355	8402	41892	26959.453	19339	85071
shared	wf	0	3	4097	4096	108659	3	256	10947.652	8352	109123	23734.953	19278	120189
recovered	wf	4	3	4097	4096	108659	3	256	13594.145	8352	754828	37755.230	28162	768718
recovered	wf	2	3	4097	4096	108659	3	256	8964.473	8462	38838	32112.965	31147	64486
recovered	wf	0	3	4097	4096	108659	3	256	8903.223	8353	79919	23696.285	22854	94771
weak	wf	0	3	4097	4096	108659	3	256	9245.242	8352	38106	22005.137	20010	53199
shared	wf	4	3	4097	257	108659	3	256	16491.344	9194	111602	60267.844	47450	152211
shared	wf	2	3	4097	257	108659	3	256	18390.418	10345	144565	60579.051	49644	167139
shared	wf	0	3	4097	257	108659	3	256	11489.309	9494	115171	36870.016	30896	142952
recovered	wf	4	3	4097	257	108659	3	256	9342.805	7622	129803	55044.586	49193	172106
recovered	wf	2	3	4097	257	108659	3	256	9982.852	9585	30125	54268.809	50074	74501
recovered	wf	0	3	4097	257	108659	3	256	11098.441	9715	48361	37609.293	33900	88822
weak	wf	0	3	4097	257	108659	3	256	11356.992	9744	26760	36614.332	32138	73209
weak	lanes16	0	3	4097	65536	108659	3	256	1462.699	1031	5448	3338.527	2694	7391
weak	lanes8	0	3	4097	65536	108659	3	256	1384.367	1352	2463	3110.953	2985	7381
weak	lanes4	0	3	4097	65536	108659	3	256	3536.707	2163	59338	6489.277	3835	269686
weak	direct	0	3	4097	65536	108659	3	256	7773.363	7521	32769	9641.484	9173	47641
shared	wf	4	3	4097	65536	108659	3	256	10324.250	8292	102202	19498.652	16324	117215
shared	wf	2	3	4097	65536	108659	3	256	11755.793	8282	78296	22438.703	16314	92657
shared	wf	0	3	4097	65536	108659	3	256	13494.699	8322	171886	24990.414	16344	186798
recovered	wf	4	3	4097	65536	108659	3	256	12197.418	8292	32108	27793.129	20610	53079
recovered	wf	2	3	4097	65536	108659	3	256	8817.078	8322	36665	21394.766	20611	54991
recovered	wf	2	3	4097	257	108659	4	256	13601.984	8282	766069	59630.969	43334	806730
recovered	wf	4	3	4097	257	108659	4	256	8398.848	7611	40390	54135.852	50105	85007
shared	wf	0	3	4097	257	108659	4	256	18920.980	15673	45177	60762.688	51697	88010
shared	wf	2	3	4097	257	108659	4	256	16861.707	10376	52508	56954.141	48782	90154
shared	wf	4	3	4097	257	108659	4	256	14459.531	9078	118356	60311.656	49013	657718
weak	wf	0	3	4097	4096	108659	4	256	8981.156	8342	80660	21269.656	20010	93289
recovered	wf	0	3	4097	4096	108659	4	256	8476.562	8362	25448	23454.445	22854	53089
recovered	wf	2	3	4097	4096	108659	4	256	9323.848	8452	85637	32493.000	31176	104605
recovered	wf	4	3	4097	4096	108659	4	256	12579.508	8502	214018	37062.684	31307	236832
shared	wf	0	3	4097	4096	108659	4	256	11061.336	8332	58677	24371.422	19268	77946
shared	wf	2	3	4097	4096	108659	4	256	12338.086	7130	48302	33292.469	24186	71517
shared	wf	4	3	4097	4096	108659	4	256	17483.168	7080	1007580	43336.375	25317	1056992
weak	wf	0	3	4097	65536	108659	4	256	9565.273	8322	35523	21675.852	19208	53139
recovered	wf	0	3	4097	65536	108659	4	256	8522.582	8392	22784	21259.512	20691	45518
recovered	wf	2	3	4097	65536	108659	4	256	9257.070	8292	25338	22645.020	20600	52829
recovered	wf	4	3	4097	65536	108659	4	256	8553.926	8282	30896	21311.215	20640	45458
shared	wf	0	3	4097	65536	108659	4	256	9814.520	8282	22072	19434.727	16314	73579
shared	wf	2	3	4097	65536	108659	4	256	9715.566	8292	29263	19906.863	16314	43555
shared	wf	4	3	4097	65536	108659	4	256	10795.938	8282	106178	20857.332	16304	114360
weak	direct	0	3	4097	65536	108659	4	256	7797.645	7521	39970	9484.188	9154	41732
weak	lanes4	0	3	4097	65536	108659	4	256	3377.617	2204	5899	5560.332	3866	23304
weak	lanes8	0	3	4097	65536	108659	4	256	2093.496	1352	17716	3919.398	3015	19839
weak	lanes16	0	3	4097	65536	108659	4	256	1174.512	1031	30445	2890.027	2684	32238
weak	wf	0	3	4097	257	108659	4	256	10792.637	9734	33179	35822.684	32128	111927
recovered	wf	0	3	4097	257	108659	4	256	11182.879	9744	39939	36393.496	33920	72528
weak	lanes16	0	3	262144	65536	116578	0	10	85260.700	71075	146868	216095.500	186237	304834
weak	wf	0	3	262144	257	116578	0	10	658162.200	641554	677167	3492001.900	3390794	3642309
recovered	wf	0	3	262144	257	116578	0	10	709963.300	635415	973118	3620561.000	3384855	4219888
recovered	wf	2	3	262144	257	116578	0	10	673475.100	640233	814832	3753483.600	3482771	4301889
recovered	wf	4	3	262144	257	116578	0	10	475367.000	351853	925567	4318701.700	3216425	6328415
shared	wf	0	3	262144	257	116578	0	10	789711.800	623457	1240105	4329857.100	3524143	6931872
shared	wf	2	3	262144	257	116578	0	10	738905.300	689696	822584	4152757.500	3702698	4937109
shared	wf	4	3	262144	257	116578	0	10	589965.800	516909	694674	5413167.900	3716674	7113843
weak	wf	0	3	262144	4096	116578	0	10	727157.600	553704	1137543	2933305.500	2408112	4545723
recovered	wf	0	3	262144	4096	116578	0	10	561319.000	546854	583448	2474987.100	2391117	2548061
recovered	wf	2	3	262144	4096	116578	0	10	392159.300	325464	422839	2276227.300	2228294	2351758
recovered	wf	4	3	262144	4096	116578	0	10	411692.700	383721	511131	2881071.700	2230739	4207900
shared	wf	0	3	262144	4096	116578	0	10	606770.900	552042	895612	2569730.800	2348153	3398575
shared	wf	2	3	262144	4096	116578	0	10	585590.600	553649	618887	2582462.300	2367943	3306529
shared	wf	4	3	262144	4096	116578	0	10	586317.500	407281	1975057	3375161.000	2322730	5619049
weak	wf	0	3	262144	65536	116578	0	10	558233.300	533523	630598	1638001.900	1557017	2024221
recovered	wf	0	3	262144	65536	116578	0	10	594769.500	535266	657087	1824401.300	1690925	2266863
recovered	wf	2	3	262144	65536	116578	0	10	573055.500	541115	760622	1779122.700	1627531	2330617
recovered	wf	4	3	262144	65536	116578	0	10	648059.200	532102	951746	1822768.600	1621712	2158141
shared	wf	0	3	262144	65536	116578	0	10	825622.200	539293	1076471	2194757.000	1446452	2859443
shared	wf	2	3	262144	65536	116578	0	10	543800.000	526223	559422	2239409.600	1561394	3230566
shared	wf	4	3	262144	65536	116578	0	10	545511.400	333906	880750	2061766.400	1461434	2739706
weak	direct	0	3	262144	65536	116578	0	10	565189.700	481647	933539	705401.400	598310	1082010
weak	lanes4	0	3	262144	65536	116578	0	10	159678.700	151736	186618	277222.400	264984	303922
weak	lanes8	0	3	262144	65536	116578	0	10	101802.300	97675	117755	221520.400	210823	240688
recovered	wf	2	3	262144	65536	116578	1	10	523213.600	283402	847391	1677774.900	1463748	2011873
recovered	wf	0	3	262144	65536	116578	1	10	545979.400	532643	579763	1676076.300	1570817	1876852
weak	wf	0	3	262144	65536	116578	1	10	710209.300	539563	1117542	1950101.900	1558118	2888076
shared	wf	4	3	262144	4096	116578	1	10	438803.300	383145	582557	3262301.400	2269290	5347215
shared	wf	2	3	262144	4096	116578	1	10	438203.500	382428	578040	3210402.300	2320922	4100931
shared	wf	0	3	262144	4096	116578	1	10	620867.600	545131	1095340	2618934.000	2386190	3065581
recovered	wf	4	3	262144	4096	116578	1	10	407221.600	372614	529267	2432573.900	2314022	2822840
recovered	wf	2	3	262144	4096	116578	1	10	606095.600	548175	973038	2543060.200	2391918	2944400
recovered	wf	0	3	262144	4096	116578	1	10	615167.200	553133	1067007	2517722.400	2365008	3170717
weak	wf	0	3	262144	4096	116578	1	10	606257.900	552943	754362	2496377.500	2360982	2619286
shared	wf	4	3	262144	257	116578	1	10	594877.600	503028	1089661	3899915.900	3514833	5847319
shared	wf	2	3	262144	257	116578	1	10	731741.000	502497	1152429	4718504.100	3657962	6386651
shared	wf	0	3	262144	257	116578	1	10	816465.700	624039	1253635	4457297.800	3513847	7647476
recovered	wf	4	3	262144	257	116578	1	10	508497.400	439554	910274	4244445.100	3320580	6052604
recovered	wf	2	3	262144	257	116578	1	10	665756.400	656026	687002	3566738.000	3456322	3876437
recovered	wf	0	3	262144	257	116578	1	10	651721.700	634845	688164	3529537.600	3328572	3781566
weak	wf	0	3	262144	257	116578	1	10	668366.300	639181	779660	3527969.400	3374480	3797479
weak	lanes16	0	3	262144	65536	116578	1	10	118769.700	116303	129482	234746.300	229561	248039
weak	lanes8	0	3	262144	65536	116578	1	10	108553.400	97936	147159	231098.800	214389	299014
weak	lanes4	0	3	262144	65536	116578	1	10	170785.200	152076	192407	298698.400	265305	341538
weak	direct	0	3	262144	65536	116578	1	10	499721.400	482017	526223	625975.100	599011	677057
shared	wf	4	3	262144	65536	116578	1	10	583106.200	491040	921801	2265045.400	1444088	3390845
shared	wf	2	3	262144	65536	116578	1	10	622590.200	551320	784297	1703764.400	1502324	2760306
shared	wf	0	3	262144	65536	116578	1	10	567511.200	535366	721143	1509824.200	1433302	1648483
recovered	wf	4	3	262144	65536	116578	1	10	604194.600	536148	864756	2512328.400	2300122	3042376
recovered	wf	0	3	262144	257	116578	2	10	648297.300	634954	674754	3528268.700	3416202	3842276
recovered	wf	2	3	262144	257	116578	2	10	664235.900	645130	690016	3511848.700	3413959	3574869
recovered	wf	4	3	262144	257	116578	2	10	435428.900	356070	521896	3356074.600	3147241	3619755
shared	wf	0	3	262144	257	116578	2	10	694238.800	626382	1228337	3783582.400	3495490	4901922
shared	wf	2	3	262144	257	116578	2	10	751325.800	682091	851060	3980244.100	3627532	4873304
shared	wf	4	3	262144	257	116578	2	10	607128.600	505397	753261	4734645.400	3669614	6522158
weak	wf	0	3	262144	4096	116578	2	10	566571.800	546143	601084	2433264.600	2371198	2535692
recovered	wf	0	3	262144	4096	116578	2	10	562593.900	546372	591240	2531382.700	2386140	3046722
recovered	wf	2	3	262144	4096	116578	2	10	429085.200	387106	527825	3404036.900	2315004	4091206
recovered	wf	4	3	262144	4096	116578	2	10	391187.100	359565	435487	2420200.300	2218530	2998901
shared	wf	0	3	262144	4096	116578	2	10	611797.000	545822	1017734	2486619.100	2345429	2886244
shared	wf	2	3	262144	4096	116578	2	10	596222.000	563628	749015	2668421.700	2400902	3990306
shared	wf	4	3	262144	4096	116578	2	10	505347.300	399564	800821	2921519.200	2320171	4889073
weak	wf	0	3	262144	65536	116578	2	10	674265.900	537179	1030723	1900004.500	1643025	2635791
recovered	wf	0	3	262144	65536	116578	2	10	541504.600	533233	560494	1641925.600	1583596	1717495
recovered	wf	2	3	262144	65536	116578	2	10	581959.700	540454	758298	1715605.200	1598087	1973826
