tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,mix,d_folded,measure,0,1048576,0,1.816749573,1337227365413222640,0,0,1,8704,0,4096,0.001905000
L1,8,512,0.500,mix,e_proved,measure,0,1048576,0,1.765251160,1337227365413222640,0,0,0,12800,0,4096,0.001851000
L1,8,512,0.500,mix,a_raw,measure,0,1048576,0,1.746177673,1337227365413222640,0,0,0,8704,0,4096,0.001831000
L1,8,512,0.500,mix,b_tag,measure,0,1048576,0,1.735687256,1337227365413222640,0,0,0,12800,0,4096,0.001820000
L1,8,512,0.500,mix,c_box,measure,1,1048576,0,1.676559448,13509082499969513748,0,0,0,4608,4096,4096,0.001758000
L1,8,512,0.500,mix,b_tag,measure,1,1048576,0,1.726150513,13509082499969513748,0,0,0,12800,0,4096,0.001810000
L1,8,512,0.500,mix,a_raw,measure,1,1048576,0,1.766204834,13509082499969513748,0,0,1,8704,0,4096,0.001852000
L1,8,512,0.500,mix,e_proved,measure,1,1048576,0,1.729965210,13509082499969513748,0,0,0,12800,0,4096,0.001814000
L1,8,512,0.500,mix,d_folded,measure,1,1048576,0,1.734733582,13509082499969513748,0,0,0,8704,0,4096,0.001819000
L1,8,512,0.500,mix,e_proved,measure,2,1048576,0,1.719474792,13430568499744183772,0,0,0,12800,0,4096,0.001803000
L1,8,512,0.500,mix,a_raw,measure,2,1048576,0,1.736640930,13430568499744183772,0,0,0,8704,0,4096,0.001821000
L1,8,512,0.500,mix,b_tag,measure,2,1048576,0,1.742362976,13430568499744183772,0,0,1,12800,0,4096,0.001827000
L1,8,512,0.500,mix,c_box,measure,2,1048576,0,1.684188843,13430568499744183772,0,0,0,4608,4096,4096,0.001766000
L1,8,512,0.500,mix,d_folded,measure,2,1048576,0,1.777648926,13430568499744183772,0,0,0,8704,0,4096,0.001864000
L1,8,512,0.500,mix,e_proved,measure,3,1048576,0,1.776695251,15972737695790064492,0,0,0,12800,0,4096,0.001863000
L1,8,512,0.500,mix,d_folded,measure,3,1048576,0,1.834869385,15972737695790064492,0,0,2,8704,0,4096,0.001924000
L1,8,512,0.500,mix,c_box,measure,3,1048576,0,1.696586609,15972737695790064492,0,0,0,4608,4096,4096,0.001779000
L1,8,512,0.500,mix,b_tag,measure,3,1048576,0,1.803398132,15972737695790064492,0,0,2,12800,0,4096,0.001891000
L1,8,512,0.500,mix,a_raw,measure,3,1048576,0,1.740455627,15972737695790064492,0,0,0,8704,0,4096,0.001825000
L1,8,512,0.500,mix,b_tag,measure,4,1048576,0,1.718521118,2194282138518490900,0,0,0,12800,0,4096,0.001802000
L1,8,512,0.500,mix,c_box,measure,4,1048576,0,1.672744751,2194282138518490900,0,0,0,4608,4096,4096,0.001754000
