tier,payload,capacity,load,workload,variant,phase,rep,ops,builds,ns_per_op,checksum,minor_faults,major_faults,invol_cs,table_bytes,entry_bytes,query_bytes,seconds
L1,8,512,0.500,miss,a_raw,measure,0,1048576,0,1.845081329,2185194620014831856,0,0,0,8704,0,4096,0.001934708
L1,8,512,0.500,miss,b_tag,measure,0,1048576,0,1.811702728,2185194620014831856,0,0,0,12800,0,4096,0.001899708
L1,8,512,0.500,miss,c_box,measure,1,1048576,0,1.800377846,13232826040865663252,0,0,0,4608,4096,4096,0.001887833
L1,8,512,0.500,miss,b_tag,measure,1,1048576,0,1.805027008,13232826040865663252,0,0,0,12800,0,4096,0.001892708
L1,8,512,0.500,miss,a_raw,measure,1,1048576,0,1.797636032,13232826040865663252,0,0,0,8704,0,4096,0.001884958
L1,8,512,0.500,miss,e_proved,measure,1,1048576,0,1.596570015,13232826040865663252,0,0,0,12800,0,4096,0.001674125
L1,8,512,0.500,miss,d_folded,measure,1,1048576,0,1.596450806,13232826040865663252,0,0,0,8704,0,4096,0.001674000
L1,8,512,0.500,miss,e_proved,measure,2,1048576,0,1.593987465,13168350753275463132,0,0,0,12800,0,4096,0.001671417
L1,8,512,0.500,miss,a_raw,measure,2,1048576,0,1.809358597,13168350753275463132,0,0,0,8704,0,4096,0.001897250
L1,8,512,0.500,miss,b_tag,measure,2,1048576,0,1.802842140,13168350753275463132,0,0,0,12800,0,4096,0.001890417
L1,8,512,0.500,miss,c_box,measure,2,1048576,0,1.797875404,13168350753275463132,0,0,0,4608,4096,4096,0.001885209
L1,8,512,0.500,miss,d_folded,measure,2,1048576,0,1.594027519,13168350753275463132,0,0,0,8704,0,4096,0.001671459
L1,8,512,0.500,miss,e_proved,measure,3,1048576,0,1.637537956,15093541023163888492,0,0,0,12800,0,4096,0.001717083
L1,8,512,0.500,miss,d_folded,measure,3,1048576,0,1.596370697,15093541023163888492,0,0,0,8704,0,4096,0.001673916
L1,8,512,0.500,miss,c_box,measure,3,1048576,0,1.797595978,15093541023163888492,0,0,0,4608,4096,4096,0.001884916
L1,8,512,0.500,miss,b_tag,measure,3,1048576,0,1.797914505,15093541023163888492,0,0,0,12800,0,4096,0.001885250
L1,8,512,0.500,miss,a_raw,measure,3,1048576,0,1.795371056,15093541023163888492,0,0,0,8704,0,4096,0.001882583
L1,8,512,0.500,miss,b_tag,measure,4,1048576,0,1.795252800,1346066267577507604,0,0,0,12800,0,4096,0.001882459
L1,8,512,0.500,miss,c_box,measure,4,1048576,0,1.795331955,1346066267577507604,0,0,0,4608,4096,4096,0.001882542
L1,8,512,0.500,miss,d_folded,measure,4,1048576,0,1.596489906,1346066267577507604,0,0,0,8704,0,4096,0.001674041
L1,8,512,0.500,miss,e_proved,measure,4,1048576,0,1.601457596,1346066267577507604,0,0,0,12800,0,4096,0.001679250
L1,8,512,0.500,miss,a_raw,measure,4,1048576,0,1.797834396,1346066267577507604,0,0,0,8704,0,4096,0.001885166
L1,8,512,0.500,miss,b_tag,measure,5,1048576,0,1.795411110,15378420243238726120,0,0,0,12800,0,4096,0.001882625
L1,8,512,0.500,miss,a_raw,measure,5,1048576,0,1.797954559,15378420243238726120,0,0,0,8704,0,4096,0.001885292
L1,8,512,0.500,miss,e_proved,measure,5,1048576,0,1.596450806,15378420243238726120,0,0,0,12800,0,4096,0.001674000
L1,8,512,0.500,miss,d_folded,measure,5,1048576,0,1.598993301,15378420243238726120,0,0,0,8704,0,4096,0.001676666
L1,8,512,0.500,miss,c_box,measure,5,1048576,0,1.797914505,15378420243238726120,0,0,0,4608,4096,4096,0.001885250
L1,8,512,0.500,miss,d_folded,measure,6,1048576,0,1.594106674,9398003893131893463,0,0,0,8704,0,4096,0.001671542
L1,8,512,0.500,miss,e_proved,measure,6,1048576,0,1.610120773,9398003893131893463,0,0,0,12800,0,4096,0.001688334
L1,8,512,0.500,miss,a_raw,measure,6,1048576,0,1.797914505,9398003893131893463,0,0,0,8704,0,4096,0.001885250
L1,8,512,0.500,miss,b_tag,measure,6,1048576,0,1.803636551,9398003893131893463,0,0,0,12800,0,4096,0.001891250
L1,8,512,0.500,miss,c_box,measure,6,1048576,0,1.809994698,9398003893131893463,0,0,0,4608,4096,4096,0.001897917
L1,8,512,0.500,miss,d_folded,measure,7,1048576,0,1.593947411,530445201382180217,0,0,0,8704,0,4096,0.001671375
L1,8,512,0.500,miss,c_box,measure,7,1048576,0,1.804034233,530445201382180217,0,0,0,4608,4096,4096,0.001891667
L1,8,512,0.500,miss,b_tag,measure,7,1048576,0,1.802961349,530445201382180217,0,0,0,12800,0,4096,0.001890542
L1,8,512,0.500,miss,a_raw,measure,7,1048576,0,1.797914505,530445201382180217,0,0,0,8704,0,4096,0.001885250
L1,8,512,0.500,miss,e_proved,measure,7,1048576,0,1.600940704,530445201382180217,0,0,0,12800,0,4096,0.001678708
L1,8,512,0.500,miss,a_raw,measure,8,1048576,0,1.795411110,3774817245553408877,0,0,0,8704,0,4096,0.001882625
L1,8,512,0.500,miss,b_tag,measure,8,1048576,0,1.803398132,3774817245553408877,0,0,0,12800,0,4096,0.001891000
L1,8,512,0.500,miss,c_box,measure,8,1048576,0,1.809081078,3774817245553408877,0,0,0,4608,4096,4096,0.001896959
L1,8,512,0.500,miss,d_folded,measure,8,1048576,0,1.603722572,3774817245553408877,0,0,0,8704,0,4096,0.001681625
L1,8,512,0.500,miss,e_proved,measure,8,1048576,0,1.606583595,3774817245553408877,0,0,0,12800,0,4096,0.001684625
L1,8,512,0.500,miss,a_raw,measure,9,1048576,0,1.799901962,4016745674725997500,0,0,0,8704,0,4096,0.001887334
L1,8,512,0.500,miss,e_proved,measure,9,1048576,0,1.613935471,4016745674725997500,0,0,0,12800,0,4096,0.001692334
L1,8,512,0.500,miss,d_folded,measure,9,1048576,0,1.603762627,4016745674725997500,0,0,0,8704,0,4096,0.001681667
L1,8,512,0.500,miss,c_box,measure,9,1048576,0,1.802722931,4016745674725997500,0,0,0,4608,4096,4096,0.001890292
L1,8,512,0.500,miss,b_tag,measure,9,1048576,0,1.800696373,4016745674725997500,0,0,0,12800,0,4096,0.001888167
L1,8,512,0.500,miss,c_box,measure,10,1048576,0,1.812617302,15923203627879530961,0,0,0,4608,4096,4096,0.001900667
L1,8,512,0.500,miss,d_folded,measure,10,1048576,0,1.606027603,15923203627879530961,0,0,0,8704,0,4096,0.001684042
L1,8,512,0.500,miss,e_proved,measure,10,1048576,0,1.614888191,15923203627879530961,0,0,0,12800,0,4096,0.001693333
L1,8,512,0.500,miss,a_raw,measure,10,1048576,0,1.812179565,15923203627879530961,0,0,0,8704,0,4096,0.001900208
L1,8,512,0.500,miss,b_tag,measure,10,1048576,0,1.798152924,15923203627879530961,0,0,0,12800,0,4096,0.001885500
