study,replay,contract,payload_bytes,policy,path,count,cohort,material_band,classification,null_raw_median,null_raw_min,null_raw_max,null_normalized_median,null_normalized_min,null_normalized_max,null_swap_median,null_swap_min,null_swap_max,null_hole_median,null_hole_min,null_hole_max,ab_raw_median,ab_raw_min,ab_raw_max,ab_normalized_median,ab_normalized_min,ab_normalized_max,ab_swap_median,ab_swap_min,ab_swap_max,ab_hole_median,ab_hole_min,ab_hole_max,a_wf_swap_median,a_wf_swap_min,a_wf_swap_max,b_wf_swap_median,b_wf_swap_min,b_wf_swap_max,a_wf_hole_median,a_wf_hole_min,a_wf_hole_max,b_wf_hole_median,b_wf_hole_min,b_wf_hole_max,a_wf_median_ns,b_wf_median_ns
plain,repeat,normal,256,plain,setup-cleanup,4096,0,0.047945205,equivalent,0.973154362,0.923076923,1.006944444,1.000000000,0.826210826,1.019038488,1.000000000,0.948387097,1.117241379,1.000000000,0.966666667,1.013793103,1.000000000,0.953947368,1.013888889,1.000000000,0.973415682,1.013888889,0.993197279,0.980000000,1.006896552,1.000000000,0.953947368,1.006896552,0.993103448,0.986301370,1.013333333,0.993103448,0.986301370,1.000000000,0.993103448,0.986301370,1.006896552,1.000000000,0.986301370,1.000000000,145000,145000
plain,repeat,normal,256,plain,setup-cleanup,4096,1,0.047945205,equivalent,0.993150685,0.986301370,1.013986014,0.993055556,0.979637171,1.013888889,1.006802721,0.993150685,1.013793103,1.000000000,0.986577181,1.000000000,1.027777778,0.947712418,1.144827586,0.980755265,0.936692506,1.012779259,1.047945205,0.954248366,1.186206897,1.006896552,0.966666667,1.176870748,0.993103448,0.973856209,1.033783784,0.981481481,0.930232558,0.993150685,0.993103448,0.986301370,1.040816327,0.993103448,0.952095808,1.013698630,145000,148000
plain,repeat,normal,8,plain,grow-pop,16,0,0.033126294,equivalent,1.016563147,0.997590361,1.064587973,1.006274046,0.990077207,1.052933342,1.010224949,1.000000000,1.021141649,1.004073320,0.986486486,1.020964361,0.989473684,0.950103950,1.009638554,1.009239051,0.993512352,1.037554828,0.985685072,0.941406250,1.002277904,1.000000000,0.956087824,1.006109980,0.952772074,0.930493274,0.968379447,0.962105263,0.940909091,0.975103734,0.960079840,0.845213849,0.993914807,0.955284553,0.838056680,0.979757085,472000,457000
plain,repeat,normal,8,plain,grow-pop,16,1,0.033126294,equivalent,1.029350105,0.966601179,1.055555556,0.999310705,0.910942762,1.043929912,1.030674847,1.002304147,1.061099796,1.033126294,0.986486486,1.071287129,0.991614256,0.968487395,1.006355932,0.995162071,0.964075152,1.041742003,0.993839836,0.964601770,1.004576659,0.991718427,0.986455982,1.009900990,0.966942149,0.909292035,1.089244851,0.962264151,0.940082645,1.050113895,0.962809917,0.915367483,1.074492099,0.955555556,0.928089888,1.054919908,472000,461000
plain,repeat,normal,8,plain,grow-pop,256,0,0.030000000,equivalent,1.002525253,0.975308642,1.017902813,0.998259447,0.959624143,1.017902813,1.006880734,1.000000000,1.039443155,0.995402299,0.971302428,1.022988506,1.007672634,1.002525253,1.014851485,1.007159118,0.983311318,1.031035835,0.995444191,0.979820628,1.024774775,1.002267574,0.981941309,1.029545455,0.886104784,0.876681614,0.925233645,0.903890160,0.865934066,0.936073059,0.888636364,0.882086168,0.916666667,0.894144144,0.869757174,0.929705215,391000,395000
plain,repeat,normal,8,plain,grow-pop,256,1,0.030000000,equivalent,0.997468354,0.973365617,1.018041237,0.988957286,0.964335664,1.022689827,0.995454545,0.984234234,1.016279070,0.995515695,0.968680089,1.013667426,1.015306122,0.995024876,1.030848329,1.014066709,0.996485748,1.026896375,1.002277904,0.988662132,1.034090909,0.993288591,0.963597430,1.009049774,0.891156463,0.880090498,0.903370787,0.905963303,0.892307692,0.911963883,0.881578947,0.841541756,0.887387387,0.897777778,0.881057269,0.926096998,393000,400000
plain,repeat,normal,8,plain,grow-pop,4096,0,0.030000000,equivalent,1.002040816,0.988212181,1.012345679,1.008251853,0.978798520,1.026084184,1.001956947,0.986512524,1.009803922,0.996000000,0.974609375,1.004040404,1.000000000,0.993877551,1.022633745,1.003898635,0.991943937,1.064742193,0.996116505,0.960451977,1.003913894,0.996023857,0.972815534,1.010000000,0.953125000,0.915254237,0.990215264,0.957198444,0.947470817,0.986354776,0.976143141,0.943689320,1.003968254,0.974257426,0.968316832,1.016064257,490000,491000
plain,repeat,normal,8,plain,grow-pop,4096,1,0.030000000,equivalent,1.004048583,0.993877551,1.012295082,1.007782101,0.981142532,1.017936711,1.001956947,0.984555985,1.023346304,1.000000000,0.990059642,1.025390625,0.997979798,0.983870968,1.020325203,0.991869919,0.983870968,1.022306417,1.000000000,0.996124031,1.015717092,0.998007968,0.986166008,1.000000000,0.958742633,0.953488372,0.970588235,0.955512573,0.947572816,0.974757282,0.984000000,0.964426877,0.988047809,0.983967936,0.970530452,1.000000000,492000,491000
plain,repeat,normal,8,plain,heapify-pop,16,0,0.030000000,equivalent,1.000000000,0.991596639,1.012552301,0.991596639,0.986226510,1.014137925,1.013452915,0.977876106,1.022522523,1.000000000,0.982683983,1.022522523,1.000000000,0.991631799,1.028688525,1.004184100,0.996000000,1.035555556,1.000000000,0.965665236,1.000000000,1.004504505,0.986784141,1.027149321,1.067567568,1.034334764,1.091703057,1.072398190,1.061946903,1.110619469,1.076576577,1.044052863,1.090497738,1.066371681,1.044052863,1.105726872,241000,241000
plain,repeat,normal,8,plain,heapify-pop,16,1,0.030000000,equivalent,1.008000000,0.995833333,1.012658228,1.012800089,0.995833333,1.026288894,0.995555556,0.986666667,1.008695652,1.000000000,0.982300885,1.027027027,1.000000000,0.941406250,1.004149378,0.978631201,0.920851528,0.999626182,1.013636364,1.004524887,1.031818182,0.995555556,0.974358974,1.013513514,1.090909091,1.076576577,1.142857143,1.057268722,1.052401747,1.090090090,1.066666667,1.050632911,1.103603604,1.058295964,1.053333333,1.090090090,241000,240000
plain,repeat,normal,8,plain,heapify-pop,256,0,0.030000000,equivalent,0.996563574,0.964516129,1.027874564,1.000481137,0.979672666,1.031443573,0.996539792,0.964052288,1.017241379,1.006779661,0.946372240,1.056105611,0.996721311,0.979522184,1.089965398,1.003412969,0.976156129,1.032786885,0.996699670,0.969798658,1.055363322,0.993288591,0.967532468,1.013114754,1.000000000,0.956521739,1.010344828,1.003355705,0.959595960,1.032786885,0.960655738,0.925566343,1.000000000,0.986577181,0.943708609,1.019417476,293000,294000
plain,repeat,normal,8,plain,heapify-pop,256,1,0.030000000,equivalent,1.000000000,0.944444444,1.024647887,0.990066225,0.956532438,1.017373872,0.996655518,0.960000000,1.037931034,0.996655518,0.976973684,1.023178808,0.986486486,0.944983819,1.017182131,0.999515738,0.964673742,1.017182131,1.000000000,0.930599369,1.026490066,1.006535948,0.952978056,1.019672131,0.996575342,0.974763407,1.017182131,0.989830508,0.966666667,1.020905923,0.970491803,0.950980392,0.996621622,0.963210702,0.938906752,0.993220339,296000,292000
