target	suite	case	workers	variant/research	pairs	wall_median	wall_min	wall_max	cpu_median	rss_median	switches_delta_median
linux-arm64	mandelbrot	0-4096	1	replica	5	0.9988	0.9443	1.0035	0.9997	1.0000	-2
linux-arm64	mandelbrot	0-65536	1	old	5	1.0010	1.0001	1.0019	1.0007	1.0000	0
linux-arm64	mandelbrot	0-65536	1	research-off	5	0.9989	0.9983	0.9993	0.9991	1.0011	-1
linux-arm64	mandelbrot	0-65536	1	replica	5	0.9997	0.9988	1.0002	1.0001	1.0000	-2
linux-arm64	mandelbrot	1-4096	1	old	5	1.0006	0.9986	1.0034	1.0003	1.0000	-1
linux-arm64	mandelbrot	1-4096	1	research-off	5	0.9991	0.9953	1.0104	0.9976	1.0000	1
linux-arm64	mandelbrot	1-4096	1	replica	5	0.9997	0.9985	1.0035	0.9980	1.0000	1
linux-arm64	mandelbrot	1-65536	1	old	5	1.0010	1.0006	1.0022	1.0009	1.0000	-1
linux-arm64	mandelbrot	1-65536	1	research-off	5	0.9996	0.9982	1.0015	0.9994	0.9979	1
linux-arm64	mandelbrot	1-65536	1	replica	5	1.0000	0.9989	1.0012	0.9998	1.0000	0
linux-arm64	mandelbrot	2-4096	1	old	5	0.9992	0.9932	1.0053	0.9999	1.0042	0
linux-arm64	mandelbrot	2-4096	1	research-off	5	1.0003	0.9925	1.0123	0.9988	1.0063	0
linux-arm64	mandelbrot	2-4096	1	replica	5	1.0010	0.9940	1.0069	1.0003	1.0063	1
linux-arm64	mandelbrot	2-65536	1	old	5	0.9997	0.9978	1.0001	0.9998	1.0021	-1
linux-arm64	mandelbrot	2-65536	1	research-off	5	0.9998	0.9983	1.0010	1.0001	1.0011	0
linux-arm64	mandelbrot	2-65536	1	replica	5	0.9996	0.9985	1.0008	0.9998	1.0011	-2
linux-arm64	mandelbrot	3-4096	1	old	5	1.0015	0.9923	1.0044	1.0012	0.9979	0
linux-arm64	mandelbrot	3-4096	1	research-off	5	1.0000	0.9951	1.0014	1.0008	1.0000	-1
linux-arm64	mandelbrot	3-4096	1	replica	5	1.0019	0.9895	1.0047	1.0023	1.0000	0
linux-arm64	mandelbrot	3-65536	1	old	5	1.0006	0.9994	1.0024	1.0009	1.0000	-3
linux-arm64	mandelbrot	3-65536	1	research-off	5	1.0009	0.9986	1.0021	1.0010	1.0000	-3
linux-arm64	mandelbrot	3-65536	1	replica	5	0.9995	0.9979	1.0000	0.9988	1.0021	0
linux-arm64	mandelbrot	4-4096	1	old	5	0.9999	0.9981	1.0020	0.9995	1.0000	-1
linux-arm64	mandelbrot	4-4096	1	research-off	5	1.0001	0.9980	1.0025	0.9999	1.0000	0
