trial,contract,element_bytes,path,capacity,count,cohort,min_elapsed_ns,quantization_margin,screening_margin,null_raw,null_c,null_normalized,ab_raw,ab_c,ab_normalized,a_wf_c,b_wf_c,null_staged,ab_staged,a_wf_staged,b_wf_staged
initial,retained,8,rehash,4096,3584,0,774000,0.0051813384789694,0.0350877192982457,1.00496277915633,0.998743718592965,0.994984964594044,1.00353773584906,1.00760456273764,0.99615433857184,1.01556886227545,1.01528662420382,0.994469026548673,1.00446927374302,0.942889137737962,0.945975744211687
initial,retained,8,rehash,4096,3584,1,774000,0.0051813384789694,0.0350877192982457,1.03508771929825,1.03253012048193,1.00107720039014,0.99009900990099,0.984687868080094,1.01244857668031,1.01139240506329,1.00967351874244,1.0417661097852,0.995515695067265,0.945828819068256,0.940315315315315
initial,retained,8,setup-cleanup,4096,3584,0,151000,0.0268444444444447,0.03,1,1.00653594771242,1.00645161290323,0.994082840236686,1.00649350649351,0.988235294117647,1.1038961038961,1.09677419354839,,,,
initial,retained,8,setup-cleanup,4096,3584,1,151000,0.0268444444444447,0.03,1.01169590643275,1.00645161290323,1.00533395176252,1,1.00657894736842,0.993589743589744,1.1038961038961,1.09803921568627,,,,
initial,retained,8,replace,64,56,0,60000,0.0689457052571099,0.0689457052571099,1.04807692307692,1.01234567901235,1.03529549718574,1,0.986111111111111,1.01554009997827,1.29508196721311,1.29268292682927,,,,
initial,retained,8,replace,64,56,1,60000,0.0689457052571099,0.0689457052571099,0.99009900990099,1,0.983870967741935,0.988372093023256,0.967741935483871,1.02325581395349,1.3030303030303,1.34920634920635,,,,
initial,retained,8,churn,64,56,0,311000,0.0129448491155044,0.03,1.00574712643678,1.02766798418972,1.00297039222334,1.01244813278008,0.997364953886693,1.01356661676647,1.00954979536153,1.04388714733542,,,,
initial,retained,8,churn,64,56,1,311000,0.0129448491155044,0.03,1.0026075619296,0.998682476943347,1.00539811066127,0.976893453145058,0.969656992084433,1.00735087001954,1.02356020942408,1.02945113788487,,,,
initial,retained,8,hit,64,56,0,63000,0.0655567117585847,0.0655567117585847,1.03529411764706,1.05952380952381,1,1.01190476190476,1,1.01470588235294,0.966666666666667,0.988372093023256,,,,
initial,retained,8,hit,64,56,1,63000,0.0655567117585847,0.0655567117585847,0.97752808988764,0.988235294117647,1.01149425287356,0.978021978021978,0.98936170212766,1,0.97029702970297,0.956989247311828,,,,
initial,retained,8,edit-first-word,64,56,0,65000,0.0634765625,0.0634765625,1.04395604395604,1.04411764705882,1.01009455660618,0.984848484848485,0.989010989010989,0.978260869565218,1,0.988235294117647,,,,
initial,retained,8,edit-first-word,64,56,1,65000,0.0634765625,0.0634765625,1,0.989130434782609,1.01058270185524,0.972222222222222,0.967391304347826,1.00020412329047,0.986301369863014,0.989130434782609,,,,
initial,retained,256,grow,4096,3584,0,551000,0.00728595041322322,0.0538617886178862,0.946138211382114,0.982394366197183,0.959899378781185,0.766375545851528,1.0018018018018,0.764384692677379,1.66306306306306,1.27536231884058,0.944123314065511,1.00204290091931,0.942622950819672,0.721479958890031
initial,retained,256,grow,4096,3584,1,551000,0.00728595041322322,0.0538617886178862,0.995689655172414,0.998204667863555,0.99962869594106,0.724742268041237,0.94453781512605,0.765382736913917,1.66888519134775,1.26654740608229,1.00103412616339,0.946393762183236,0.930968360498562,0.722165474974464
initial,retained,256,rehash,4096,3584,0,1039000,0.00385727703713612,0.03,1.00525525525526,1.002849002849,0.992100424328147,0.909935668334525,1.0019120458891,0.908200971193097,1.25179211469534,1.13988657844991,1.00547570157426,1.00642857142857,0.947838023335621,0.857445306986591
initial,retained,256,rehash,4096,3584,1,1039000,0.00385727703713612,0.03,0.990327380952381,0.994633273703041,0.994961832061069,0.89977728285078,0.996360327570519,0.899716939104212,1.28157156220767,1.16073059360731,1.00274348422497,0.99527027027027,0.951667801225323,0.869946091644205
initial,retained,256,setup-cleanup,4096,3584,0,328000,0.0122698239018415,0.03,1.00943396226415,1.0030303030303,1.00338944752005,0.863117870722434,0.996978851963746,0.862245590230665,1.59036144578313,1.37272727272727,,,,
initial,retained,256,setup-cleanup,4096,3584,1,328000,0.0122698239018415,0.03,0.998116760828625,1.00302114803625,0.99624765478424,0.834254143646409,0.967836257309941,0.860967856666519,1.58771929824561,1.37237237237237,,,,
initial,retained,256,replace,64,56,0,250000,0.016128772116579,0.03,1.00164203612479,0.996350364963504,1.003663003663,0.957142857142857,0.996336996336996,0.961734011238962,2.32841328413284,2.23137254901961,,,,
initial,retained,256,replace,64,56,1,250000,0.016128772116579,0.03,1.00494233937397,1.003861003861,0.994731958278519,0.914596273291925,0.954887218045113,0.956808408982322,2.34191176470588,2.23228346456693,,,,
initial,retained,256,churn,64,56,0,526000,0.00763356009070271,0.03,1.00524246395806,0.996323529411765,1.00605215786755,0.997328584149599,1.00377358490566,0.97468981431143,1.24070021881838,1.24232456140351,,,,
initial,retained,256,churn,64,56,1,526000,0.00763356009070271,0.03,1.00392670157068,1.00109409190372,0.998643200215931,0.97588285960379,0.963768115942029,0.999936835456364,1.25106837606838,1.24972855591748,,,,
initial,retained,256,hit,64,56,0,65000,0.0634765625,0.0634765625,1,1.01020408163265,0.991713301764959,1,1,1.00143325143325,0.945054945054945,0.928571428571429,,,,
initial,retained,256,hit,64,56,1,65000,0.0634765625,0.0634765625,1.01176470588235,0.987012987012987,1.03030303030303,0.988095238095238,1,0.985714285714286,0.956521739130435,0.928571428571429,,,,
initial,retained,256,edit-first-word,64,56,0,68000,0.0605925595901093,0.0891089108910891,0.910891089108911,0.933333333333333,0.975954738330976,1,0.966666666666667,1.03101903695409,0.94949494949495,0.957746478873239,,,,
initial,retained,256,edit-first-word,64,56,1,68000,0.0605925595901093,0.0891089108910891,1.01388888888889,0.98019801980198,1.03129117259552,0.966292134831461,0.972602739726027,0.984995586937335,0.967391304347826,0.939393939393939,,,,
replay,normal,8,grow,4096,3584,0,270000,0.0149251668716575,0.03,1.00340136054422,1,1.00885644768856,0.983108108108108,1,0.973333333333333,1.03508771929825,0.996527777777778,1.0066889632107,1.0034965034965,1.02702702702703,1.01027397260274
replay,normal,8,grow,4096,3584,1,270000,0.0149251668716575,0.03,1,1.01724137931034,0.989629418200847,1.02649006622517,1.04225352112676,0.985003092145949,1.06451612903226,1.05944055944056,1.00680272108844,1.0387323943662,1.02040816326531,1.01677852348993
replay,normal,8,rehash,4096,3584,0,666000,0.00602408276329913,0.0336257309941521,1.03362573099415,1.03018372703412,1.00197457731704,1.00698324022346,1.00717360114778,0.990183246073298,0.950335570469799,0.947960618846695,1.03091397849462,0.994475138121547,0.978201634877384,0.984972677595628
replay,normal,8,rehash,4096,3584,1,666000,0.00602408276329913,0.0336257309941521,1,1.00403225806452,0.99544618421643,1.02904564315353,1.04507042253521,0.993323091050364,0.954738330975955,0.950134770889488,1.00293685756241,1.02993197278912,0.979885057471264,0.987394957983193
replay,normal,8,setup-cleanup,4096,3584,0,128000,0.031744063488127,0.031744063488127,1.00763358778626,0.993421052631579,1.01481481481481,0.99236641221374,0.992647058823529,1.00729927007299,0.943661971830986,0.948905109489051,,,,
