cohort,contract,path,variant,sample,calls,rounds,elapsed_ns,checksum,requests,peak_bytes
0,retained,growth,legacy-c,1,64,512,12994000,6706251124355801440,262144,768
0,retained,growth,whitefoot,1,64,512,16371000,6706251124355801440,262144,768
0,retained,growth,legacy-c,2,64,512,13038000,11161059927993819552,262144,768
0,retained,growth,whitefoot,2,64,512,16337000,11161059927993819552,262144,768
0,retained,growth,matched-c,2,64,512,10740000,11161059927993819552,262144,768
0,retained,growth,whitefoot,3,64,512,16451000,15615868731631837664,262144,768
0,retained,growth,matched-c,3,64,512,10649000,15615868731631837664,262144,768
0,retained,growth,legacy-c,3,64,512,12871000,15615868731631837664,262144,768
0,retained,growth,matched-c,4,64,512,10777000,1623933461560304160,262144,768
0,retained,growth,legacy-c,4,64,512,12889000,1623933461560304160,262144,768
0,retained,growth,whitefoot,4,64,512,16428000,1623933461560304160,262144,768
0,retained,growth,legacy-c,5,64,512,13057000,6078742265198322272,262144,768
0,retained,growth,whitefoot,5,64,512,16531000,6078742265198322272,262144,768
0,retained,growth,matched-c,5,64,512,10991000,6078742265198322272,262144,768
0,retained,growth,whitefoot,6,64,512,16451000,10533551068836340384,262144,768
0,retained,growth,matched-c,6,64,512,10890000,10533551068836340384,262144,768
0,retained,growth,legacy-c,6,64,512,12668000,10533551068836340384,262144,768
0,retained,growth,matched-c,7,64,512,10761000,14988359872474358496,262144,768
0,retained,growth,legacy-c,7,64,512,13575000,14988359872474358496,262144,768
0,retained,growth,whitefoot,7,64,512,16464000,14988359872474358496,262144,768
0,retained,growth,legacy-c,8,64,512,13474000,996424602402824992,262144,768
0,retained,growth,whitefoot,8,64,512,16197000,996424602402824992,262144,768
0,retained,growth,matched-c,8,64,512,10723000,996424602402824992,262144,768
0,retained,growth,whitefoot,9,64,512,16344000,5451233406040843104,262144,768
0,retained,growth,matched-c,9,64,512,10705000,5451233406040843104,262144,768
0,retained,growth,legacy-c,9,64,512,13002000,5451233406040843104,262144,768
0,retained,growth,matched-c,10,64,512,10751000,9906042209678861216,262144,768
0,retained,growth,legacy-c,10,64,512,12994000,9906042209678861216,262144,768
0,retained,growth,whitefoot,10,64,512,16438000,9906042209678861216,262144,768
