run,comparison,cohort,arm,image,contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
initial,aa,0,a,baseline,normal,16,hit-miss,256,direct-c,1,32,1,149000,16672421336423087069,31,11656,31,11656
initial,aa,0,a,baseline,normal,16,hit-miss,256,source-c,1,32,1,239000,16672421336423087069,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,whitefoot,1,32,1,193000,16672421336423087069,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,whitefoot,2,32,1,177000,3362186162026956220,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,source-c,2,32,1,224000,3362186162026956220,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,direct-c,2,32,1,164000,3362186162026956220,31,11656,31,11656
initial,aa,0,a,baseline,normal,16,hit-miss,256,avl-c,2,32,1,115000,3362186162026956220,256,10240,256,10240
initial,aa,0,a,baseline,normal,16,hit-miss,256,avl-c,3,32,1,111000,11550719305246486032,256,10240,256,10240
initial,aa,0,a,baseline,normal,16,hit-miss,256,direct-c,3,32,1,139000,11550719305246486032,31,11656,31,11656
initial,aa,0,a,baseline,normal,16,hit-miss,256,source-c,3,32,1,229000,11550719305246486032,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,whitefoot,3,32,1,183000,11550719305246486032,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,whitefoot,4,32,1,173000,15444582779029288436,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,source-c,4,32,1,224000,15444582779029288436,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,direct-c,4,32,1,157000,15444582779029288436,31,11656,31,11656
initial,aa,0,a,baseline,normal,16,hit-miss,256,avl-c,4,32,1,122000,15444582779029288436,256,10240,256,10240
initial,aa,0,a,baseline,normal,16,hit-miss,256,avl-c,5,32,1,117000,1232392432011326836,256,10240,256,10240
initial,aa,0,a,baseline,normal,16,hit-miss,256,direct-c,5,32,1,140000,1232392432011326836,31,11656,31,11656
initial,aa,0,a,baseline,normal,16,hit-miss,256,source-c,5,32,1,234000,1232392432011326836,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,256,whitefoot,5,32,1,185000,1232392432011326836,31,15624,31,15624
initial,aa,0,a,baseline,normal,16,hit-miss,4096,whitefoot,0,2,1,931000,8497386473953290234,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,source-c,0,2,1,1033000,8497386473953290234,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,direct-c,0,2,1,869000,8497386473953290234,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,hit-miss,4096,avl-c,0,2,1,502000,8497386473953290234,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,hit-miss,4096,avl-c,1,2,1,487000,6620817307054579695,4096,163840,4096,163840
initial,aa,0,a,baseline,normal,16,hit-miss,4096,direct-c,1,2,1,849000,6620817307054579695,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,hit-miss,4096,source-c,1,2,1,1062000,6620817307054579695,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,whitefoot,1,2,1,931000,6620817307054579695,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,whitefoot,2,2,1,922000,14584893733163510546,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,source-c,2,2,1,1022000,14584893733163510546,363,182952,363,182952
initial,aa,0,a,baseline,normal,16,hit-miss,4096,direct-c,2,2,1,843000,14584893733163510546,365,137240,365,137240
initial,aa,0,a,baseline,normal,16,hit-miss,4096,avl-c,2,2,1,517000,14584893733163510546,4096,163840,4096,163840
