contract,pair_bytes,path,count,variant,sample,rounds,traces,elapsed_ns,checksum,requests,requested_bytes,peak_nodes,peak_bytes
normal,16,range-16,4096,avl-c,4,2,1,1059000,12143043846494035490,4096,163840,4096,163840
normal,16,range-16,4096,avl-c,5,2,1,1111000,1704524455370811990,4096,163840,4096,163840
normal,16,range-16,4096,direct-c,5,2,1,788000,1704524455370811990,365,137240,365,137240
normal,16,range-16,4096,source-c,5,2,1,1005000,1704524455370811990,363,182952,363,182952
normal,16,range-16,4096,whitefoot,5,2,1,936000,1704524455370811990,363,182952,363,182952
normal,264,build-cleanup,8,whitefoot,0,0,512,415000,3218974858609647463,512,2162688,1,4224
normal,264,build-cleanup,8,source-c,0,0,512,369000,3218974858609647463,512,2162688,1,4224
normal,264,build-cleanup,8,direct-c,0,0,512,242000,3218974858609647463,512,2097152,1,4096
normal,264,build-cleanup,8,avl-c,0,0,512,291000,3218974858609647463,4096,1179648,8,2304
normal,264,build-cleanup,8,avl-c,1,0,512,297000,8861920933563046431,4096,1179648,8,2304
normal,264,build-cleanup,8,direct-c,1,0,512,242000,8861920933563046431,512,2097152,1,4096
