bundle	round	compiler	seconds	exit	llvm_sha256	sources_identical
tests/programs/compute/prefix.wf	1	candidate	0.048959	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/prefix.wf	1	base	0.049313	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/prefix.wf	2	base	0.050564	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/prefix.wf	2	candidate	0.048847	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/prefix.wf	3	candidate	0.049858	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/prefix.wf	3	base	0.047822	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/prefix.wf	4	base	0.048196	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/prefix.wf	4	candidate	0.052145	0	0efca762a2bc67b8a80047a6ed66ce35b1f13afa99c2567eb64b03bc03b299a6	True
tests/programs/compute/quadrature.wf	0	base	0.043233	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	0	candidate	0.047149	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	1	candidate	0.041181	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	1	base	0.041627	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	2	base	0.064459	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	2	candidate	0.041507	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	3	candidate	0.040179	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	3	base	0.041470	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	4	base	0.040762	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/quadrature.wf	4	candidate	0.041220	0	78e5f06953b2251d07bea1fa2171dd56eb4c53767e86e2e080a861d7d1548435	True
tests/programs/compute/radix_scatter.wf	0	base	0.141968	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	0	candidate	0.130901	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	1	candidate	0.142910	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	1	base	0.164353	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	2	base	0.147799	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	2	candidate	0.139673	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	3	candidate	0.135715	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	3	base	0.133226	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	4	base	0.127509	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/radix_scatter.wf	4	candidate	0.128796	0	ddb1dcdbe20f7776b1aa02545b377281e374d1bc01c45bca23c4daa3ac8e42f0	False
tests/programs/compute/range_split.wf	0	base	0.030496	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	0	candidate	0.030730	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	1	candidate	0.031836	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	1	base	0.031753	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	2	base	0.034367	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	2	candidate	0.031229	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	3	candidate	0.030797	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	3	base	0.030721	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	4	base	0.031706	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/range_split.wf	4	candidate	0.031434	0	362373cda66de07efa9d8eb3fb9008730c5d2627a835aa06f846f6bdd63f5037	True
tests/programs/compute/records.wf	0	base	0.056098	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	0	candidate	0.063086	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	1	candidate	0.056283	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	1	base	0.055160	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	2	base	0.058907	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	2	candidate	0.055362	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	3	candidate	0.057983	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	3	base	0.057087	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	4	base	0.057960	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/records.wf	4	candidate	0.060465	0	df79760518d96152d38e950096ea231129c007b433496294b491259927caf5d7	True
tests/programs/compute/stencil.wf	0	base	0.129760	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/compute/stencil.wf	0	candidate	0.137980	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/compute/stencil.wf	1	candidate	0.135686	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/compute/stencil.wf	1	base	0.139830	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/compute/stencil.wf	2	base	0.136680	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
tests/programs/compute/stencil.wf	2	candidate	0.129706	0	97d8d93fbac1f6973b0754e1712d8ef8ae17fdc91b1d9285ef7191881d5dbd0f	True
