canonical_key	item_path	member_name	source_path	primary_contract_id	markers
src/alloc/collections/linked_list.rs.html#897|provided_or_inherent_method|pop_front	alloc::collections::linked_list::LinkedList	pop_front	src/alloc/collections/linked_list.rs.html#897	LIST-POP-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#917|provided_or_inherent_method|push_back	alloc::collections::linked_list::LinkedList	push_back	src/alloc/collections/linked_list.rs.html#917	LIST-PUSH-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#938|provided_or_inherent_method|push_back_mut	alloc::collections::linked_list::LinkedList	push_back_mut	src/alloc/collections/linked_list.rs.html#938	LIST-PUSH-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#846|provided_or_inherent_method|push_front	alloc::collections::linked_list::LinkedList	push_front	src/alloc/collections/linked_list.rs.html#846	LIST-PUSH-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#867|provided_or_inherent_method|push_front_mut	alloc::collections::linked_list::LinkedList	push_front_mut	src/alloc/collections/linked_list.rs.html#867	LIST-PUSH-01	stable_safe_seed
src/alloc/collections/linked_list.rs.html#995|provided_or_inherent_method|split_off	alloc::collections::linked_list::LinkedList	split_off	src/alloc/collections/linked_list.rs.html#995	LIST-BULK-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#2672|provided_or_inherent_method|append	alloc::collections::vec_deque::VecDeque	append	src/alloc/collections/vec_deque/mod.rs.html#2672	DEQUE-BULK-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#1684|provided_or_inherent_method|as_mut_slices	alloc::collections::vec_deque::VecDeque	as_mut_slices	src/alloc/collections/vec_deque/mod.rs.html#1684	DEQUE-VIEW-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#1635|provided_or_inherent_method|as_slices	alloc::collections::vec_deque::VecDeque	as_slices	src/alloc/collections/vec_deque/mod.rs.html#1635	DEQUE-VIEW-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#2091|provided_or_inherent_method|back	alloc::collections::vec_deque::VecDeque	back	src/alloc/collections/vec_deque/mod.rs.html#2091	DEQUE-ACCESS-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#2115|provided_or_inherent_method|back_mut	alloc::collections::vec_deque::VecDeque	back_mut	src/alloc/collections/vec_deque/mod.rs.html#2115	DEQUE-ACCESS-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#3203|provided_or_inherent_method|binary_search	alloc::collections::vec_deque::VecDeque	binary_search	src/alloc/collections/vec_deque/mod.rs.html#3203	DEQUE-SEARCH-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#3249|provided_or_inherent_method|binary_search_by	alloc::collections::vec_deque::VecDeque	binary_search_by	src/alloc/collections/vec_deque/mod.rs.html#3249	DEQUE-SEARCH-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#3307|provided_or_inherent_method|binary_search_by_key	alloc::collections::vec_deque::VecDeque	binary_search_by_key	src/alloc/collections/vec_deque/mod.rs.html#3307	DEQUE-SEARCH-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#1052|provided_or_inherent_method|capacity	alloc::collections::vec_deque::VecDeque	capacity	src/alloc/collections/vec_deque/mod.rs.html#1052	DEQUE-META-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#1992|provided_or_inherent_method|clear	alloc::collections::vec_deque::VecDeque	clear	src/alloc/collections/vec_deque/mod.rs.html#1992	DEQUE-RESIZE-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#2021|provided_or_inherent_method|contains	alloc::collections::vec_deque::VecDeque	contains	src/alloc/collections/vec_deque/mod.rs.html#2021	DEQUE-SEARCH-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#1880|provided_or_inherent_method|drain	alloc::collections::vec_deque::VecDeque	drain	src/alloc/collections/vec_deque/mod.rs.html#1880	DEQUE-DRAIN-01	stable_safe_seed;one_hop_protocol;one_hop_helper_return
src/alloc/collections/vec_deque/mod.rs.html#2046|provided_or_inherent_method|front	alloc::collections::vec_deque::VecDeque	front	src/alloc/collections/vec_deque/mod.rs.html#2046	DEQUE-ACCESS-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#2070|provided_or_inherent_method|front_mut	alloc::collections::vec_deque::VecDeque	front_mut	src/alloc/collections/vec_deque/mod.rs.html#2070	DEQUE-ACCESS-01	stable_safe_seed
src/alloc/collections/vec_deque/mod.rs.html#968|provided_or_inherent_method|get	alloc::collections::vec_deque::VecDeque	get	src/alloc/collections/vec_deque/mod.rs.html#968	DEQUE-ACCESS-01	stable_safe_seed
